support,itemsets,itemset_size
0.1324153639093074,WHITE HANGING HEART T-LIGHT HOLDER,1
0.11719639714256135,REGENCY CAKESTAND 3 TIER,1
0.10570452427787555,JUMBO BAG RED RETROSPOT,1
0.10208096076198364,PARTY BUNTING,1
0.08241018738999896,LUNCH BAG RED RETROSPOT,1
0.07619836421989853,PACK OF 72 RETROSPOT CAKE CASES,1
0.07319598302101667,ASSORTED COLOUR BIRD ORNAMENT,1
0.07091831452531318,SET OF 3 CAKE TINS PANTRY DESIGN,1
0.0707112537529765,NATURAL SLATE HEART CHALKBOARD,1
0.06781240294026297,JAM MAKING SET WITH JARS,1
0.06719122062325293,HEART OF WICKER SMALL,1
0.06491355212754944,JUMBO BAG PINK POLKADOT,1
0.06460296096904442,JUMBO STORAGE BAG SUKI,1
0.06356765710736101,JAM MAKING SET PRINTED,1
0.06273941401801429,JUMBO SHOPPER VINTAGE RED PAISLEY,1
0.06191117092866756,WOODEN PICTURE FRAME WHITE FINISH,1
0.06180764054249922,VICTORIAN GLASS HANGING T-LIGHT,1
0.06160057977016254,ROSES REGENCY TEACUP AND SAUCER,1
0.06056527590847914,SMALL POPCORN HOLDER,1
0.06025468474997412,SET/20 RED RETROSPOT PAPER NAPKINS,1
0.05973703281913242,RECIPE BOX PANTRY YELLOW DESIGN,1
0.05932291127445905,GREEN REGENCY TEACUP AND SAUCER,1
0.05890878972978569,LUNCH BAG  BLACK SKULL.,1
0.05859819857128067,SET OF 6 SPICE TINS PANTRY DESIGN,1
0.05518169582772544,LUNCH BAG CARS BLUE,1
0.05383580080753701,LUNCH BAG PINK POLKADOT,1
0.05383580080753701,LUNCH BAG SPACEBOY DESIGN,1
0.053732270421368675,SET OF 4 PANTRY JELLY MOULDS,1
0.05259343617351693,JUMBO  BAG BAROQUE BLACK WHITE,1
0.05259343617351693,PAPER BUNTING RETROSPOT,1
0.05238637540118025,POSTAGE,1
0.05197225385650688,PLEASE ONE PERSON METAL SIGN,1
0.05062635883631846,PACK OF 60 PINK PAISLEY CAKE CASES,1
0.05031576767781344,LUNCH BAG WOODLAND,1
0.049901646133140076,ALARM CLOCK BAKELIKE RED,1
0.049591054974635056,RED RETROSPOT CHARLOTTE BAG,1
0.048969872657625015,60 TEATIME FAIRY CAKE CASES,1
0.04886634227145667,HOME BUILDING BLOCK WORD,1
0.04876281188528833,HEART OF WICKER LARGE,1
0.04793456879594161,SPACEBOY LUNCH BOX,1
0.04762397763743659,STRAWBERRY CERAMIC TRINKET BOX,1
0.0468992649342582,JUMBO BAG WOODLAND ANIMALS,1
0.046692204161921526,6 RIBBONS RUSTIC CHARM,1
0.04627808261724816,JUMBO BAG PINK VINTAGE PAISLEY,1
0.046071021844911485,CHARLOTTE BAG SUKI DESIGN,1
0.046071021844911485,CLOTHES PEGS RETROSPOT PACK 24,1
0.0458639610725748,COOK WITH WINE METAL SIGN,1
0.04544983952790144,WOODEN FRAME ANTIQUE WHITE,1
0.0453463091417331,HANGING HEART JAR T-LIGHT HOLDER,1
0.04524277875556476,DOTCOM POSTAGE,1
0.04493218759705974,LUNCH BAG SUKI DESIGN,1
0.04472512682472306,DOLLY GIRL LUNCH BOX,1
0.04472512682472306,JUMBO BAG STRAWBERRY,1
0.04462159643855471,SET/5 RED RETROSPOT LID GLASS BOWLS,1
0.04358629257687131,SET OF 3 HEART COOKIE CUTTERS,1
0.04348276219070297,PAPER CHAIN KIT EMPIRE,1
0.04337923180453463,HOMEMADE JAM SCENTED CANDLES,1
0.04317217103219795,WOODLAND CHARLOTTE BAG,1
0.04296511025986127,DOORMAT RED RETROSPOT,1
0.04296511025986127,RECYCLING BAG RETROSPOT,1
0.04286157987369293,PICNIC BASKET WICKER SMALL,1
0.04213686717051455,GIN + TONIC DIET METAL SIGN,1
0.04120509369499948,LUNCH BOX I LOVE LONDON,1
0.04110156330883114,HANGING HEART ZINC T-LIGHT HOLDER,1
0.04110156330883114,RED TOADSTOOL LED NIGHT LIGHT,1
0.04089450253649446,SPOTTY BUNTING,1
0.04058391137798944,DOORMAT UNION FLAG,1
0.04027332021948442,COLOUR GLASS T-LIGHT HOLDER HANGING,1
0.04016978983331608,SET OF 3 BUTTERFLY COOKIE CUTTERS,1
0.040066259447147735,LOVE BUILDING BLOCK WORD,1
0.03985919867481106,HAND OVER THE CHOCOLATE   SIGN,1
0.03985919867481106,REX CASH+CARRY JUMBO SHOPPER,1
0.039755668288642715,BATHROOM METAL SIGN,1
0.039755668288642715,LUNCH BAG APPLE DESIGN,1
0.03965213790247438,PINK REGENCY TEACUP AND SAUCER,1
0.03861683404079097,PACK OF 20 NAPKINS PANTRY DESIGN,1
0.03830624288228595,PICNIC BASKET WICKER LARGE,1
0.03830624288228595,RETROSPOT TEA SET CERAMIC 11 PC,1
0.03809918210994927,RED HANGING HEART T-LIGHT HOLDER,1
0.03758153017910757,CHARLOTTE BAG PINK POLKADOT,1
0.037477999792939226,ALARM CLOCK BAKELIKE GREEN,1
0.03737446940677089,STRAWBERRY CHARLOTTE BAG,1
0.03727093902060254,RED RETROSPOT PICNIC BAG,1
0.037167408634434206,WOOD BLACK BOARD ANT WHITE FINISH,1
0.03706387824826587,DOORMAT HEARTS,1
0.03706387824826587,HOT BATHS METAL SIGN,1
0.036546226317424164,ROUND SNACK BOXES SET OF4 WOODLAND,1
0.036235635158919144,FELTCRAFT 6 FLOWER FRIENDS,1
0.036235635158919144,TEA TIME PARTY BUNTING,1
0.03551092245574076,72 SWEETHEART FAIRY CAKE CASES,1
0.03551092245574076,DOORMAT NEW ENGLAND,1
0.03551092245574076,GUMBALL COAT RACK,1
0.03540739206957242,ENAMEL FLOWER JUG CREAM,1
0.03520033129723574,CHILLI LIGHTS,1
0.0350968009110674,ALARM CLOCK BAKELIKE PINK,1
0.0350968009110674,RED RETROSPOT CAKE STAND,1
0.034993270524899055,BAKING SET 9 PIECE RETROSPOT,1
0.034993270524899055,JUMBO STORAGE BAG SKULLS,1
0.034993270524899055,VINTAGE SNAP CARDS,1
0.03478620975256238,JUMBO BAG APPLES,1
0.034682679366394034,STRAWBERRY LUNCH BOX WITH CUTLERY,1
0.034579148980225696,LUNCH BAG DOLLY GIRL DESIGN,1
0.03447561859405736,JUMBO BAG SPACEBOY DESIGN,1
0.034268557821720676,SET OF 72 PINK HEART PAPER DOILIES,1
0.033957966663215655,NO SINGING METAL SIGN,1
0.03375090589087897,IVORY KITCHEN SCALES,1
0.03375090589087897,PACK OF 72 SKULL CAKE CASES,1
0.033026193187700593,JUMBO BAG TOYS,1
0.03250854125685889,SINGLE HEART ZINC T-LIGHT HOLDER,1
0.032405010870690545,PAPER CHAIN KIT RETROSPOT,1
0.032405010870690545,SWEETHEART CAKESTAND 3 TIER,1
0.03219795009835387,PLASTERS IN TIN WOODLAND ANIMALS,1
0.03219795009835387,SET/6 RED SPOTTY PAPER PLATES,1
0.032094419712185525,JUMBO BAG DOILEY PATTERNS,1
0.032094419712185525,WOOD S/3 CABINET ANT WHITE FINISH,1
0.03199088932601719,GINGERBREAD MAN COOKIE CUTTER,1
0.031783828553680504,ROUND SNACK BOXES SET OF 4 FRUITS,1
0.031680298167512166,WOODEN UNION JACK BUNTING,1
0.031473237395175484,LOVEBIRD HANGING DECORATION WHITE,1
0.031473237395175484,PACK OF 60 DINOSAUR CAKE CASES,1
0.031369707009007146,ASSORTED COLOURS SILK FAN,1
0.031059115850502122,LUNCH BAG DOILEY PATTERN,1
0.03095558546433378,EDWARDIAN PARASOL NATURAL,1
0.030852055078165443,PLASTERS IN TIN SPACEBOY,1
0.030852055078165443,SET 2 TEA TOWELS I LOVE LONDON,1
0.030541463919660422,BOX OF 24 COCKTAIL PARASOLS,1
0.030541463919660422,TRAVEL SEWING KIT,1
0.03033440314732374,SMALL GLASS HEART TRINKET POT,1
0.03012734237498706,CREAM SWEETHEART MINI CHEST,1
0.03002381198881872,CANDLEHOLDER PINK HANGING HEART,1
0.03002381198881872,LADIES & GENTLEMEN METAL SIGN,1
0.03002381198881872,PACK OF 60 SPACEBOY CAKE CASES,1
0.029609690444145357,JUMBO BAG OWLS,1
0.029506160057977016,RED  HARMONICA IN BOX,1
0.029402629671808674,HANGING JAM JAR T-LIGHT HOLDER,1
0.029402629671808674,JUMBO BAG ALPHABET,1
0.029402629671808674,PAPER BUNTING WHITE LACE,1
0.029299099285640336,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1
0.029299099285640336,SWEETHEART CERAMIC TRINKET BOX,1
0.029195568899471995,RED KITCHEN SCALES,1
0.029195568899471995,RED RETROSPOT SHOPPER BAG,1
0.029195568899471995,SET/3 RED GINGHAM ROSE STORAGE BOX,1
0.028988508127135316,CREAM HEART CARD HOLDER,1
0.028677916968630292,PHOTO FRAME CORNICE,1
0.028574386582461954,FELTCRAFT BUTTERFLY HEARTS,1
0.028574386582461954,LUNCH BOX WITH CUTLERY RETROSPOT,1
0.028574386582461954,RED RETROSPOT PEG BAG,1
0.028470856196293613,CHOCOLATE HOT WATER BOTTLE,1
0.028470856196293613,POTTERING IN THE SHED METAL SIGN,1
0.02826379542395693,VINTAGE UNION JACK BUNTING,1
0.028160265037788592,DOORMAT SPOTTY HOME SWEET HOME,1
0.028160265037788592,PINK CREAM FELT CRAFT TRINKET BOX,1
0.028160265037788592,PLASTERS IN TIN CIRCUS PARADE,1
0.02784967387928357,ALARM CLOCK BAKELIKE ORANGE,1
0.02774614349311523,RED RETROSPOT BOWL,1
0.02774614349311523,SCOTTIE DOG HOT WATER BOTTLE,1
0.02764261310694689,SET/6 RED SPOTTY PAPER CUPS,1
0.02764261310694689,SMALL HEART MEASURING SPOONS,1
0.02743555233461021,NATURAL SLATE CHALKBOARD LARGE,1
0.027332021948441868,PACK OF 12 LONDON TISSUES,1
0.027228491562273527,LUNCH BAG ALPHABET DESIGN,1
0.027021430789936848,DOORMAT FANCY FONT HOME SWEET HOME,1
0.027021430789936848,SPACEBOY BIRTHDAY CARD,1
0.026917900403768506,SET OF 20 KIDS COOKIE CUTTERS,1
0.026503778859095144,PLASTERS IN TIN VINTAGE PAISLEY,1
0.026503778859095144,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1
0.026503778859095144,TOY TIDY PINK POLKADOT,1
0.026193187700590124,FELTCRAFT CUSHION RABBIT,1
0.026089657314421782,ZINC METAL HEART DECORATION,1
0.02598612692825344,3 HOOK PHOTO SHELF ANTIQUE WHITE,1
0.025882596542085103,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,1
0.025779066155916762,ENAMEL BREAD BIN CREAM,1
0.025779066155916762,METAL 4 HOOK HANGER FRENCH CHATEAU,1
0.02567553576974842,BEWARE OF THE CAT METAL SIGN,1
0.02567553576974842,DOORMAT FAIRY CAKE,1
0.02567553576974842,RETROSPOT HEART HOT WATER BOTTLE,1
0.02567553576974842,STRAWBERRY   PICNIC BAG,1
0.02557200538358008,WHITE WOOD GARDEN PLANT LADDER,1
0.02546847499741174,CHILDRENS APRON SPACEBOY DESIGN,1
0.02546847499741174,SET/2 RED RETROSPOT TEA TOWELS,1
0.02546847499741174,TRAVEL CARD WALLET KEEP CALM,1
0.0253649446112434,CHOCOLATE THIS WAY METAL SIGN,1
0.0253649446112434,DOORMAT ENGLISH ROSE,1
