application_id,student_id,college_id,college,company,role,stage,package_lpa,applied_at
APP00001,STU00280,COL004,Dayananda Sagar College of Engineering,BlueOrbit Labs,Frontend Developer,Placed,5.6,2026-08-28T16:15
APP00002,STU00402,COL002,RV College of Engineering,PrimeStack,Frontend Developer,Applied,,2026-08-10T10:59
APP00003,STU01991,COL006,CMR Institute of Technology,Vertex Digital,Software Engineer,Screening,,2026-08-11T18:53
APP00004,STU00630,COL006,CMR Institute of Technology,Vertex Digital,Software Engineer,Rejected,,2026-08-15T12:00
APP00005,STU00884,COL004,Dayananda Sagar College of Engineering,DataNest,Frontend Developer,Screening,,2026-09-03T18:20
APP00006,STU00168,COL003,PES University,TechForge,Business Analyst,Offer,12.2,2026-08-29T19:14
APP00007,STU01340,COL006,CMR Institute of Technology,Aster Mobility,Business Analyst,Interview,,2026-08-21T20:04
APP00008,STU01746,COL001,BMS Institute of Technology,DataNest,Data Analyst,Applied,,2026-07-31T20:12
APP00009,STU02387,COL003,PES University,Vertex Digital,Backend Developer,Screening,,2026-08-20T13:45
APP00010,STU01644,COL003,PES University,BrightWorks,Data Analyst,Interview,,2026-09-19T17:51
APP00011,STU01842,COL003,PES University,FinEdge Solutions,Data Analyst,Interview,,2026-08-04T10:11
APP00012,STU00523,COL003,PES University,Vertex Digital,Frontend Developer,Offer,14.0,2026-09-27T16:51
APP00013,STU01252,COL004,Dayananda Sagar College of Engineering,TechForge,Business Analyst,Rejected,,2026-08-21T20:24
APP00014,STU01950,COL004,Dayananda Sagar College of Engineering,Nova Systems,Data Analyst,Interview,,2026-08-13T18:00
APP00015,STU00463,COL004,Dayananda Sagar College of Engineering,FinEdge Solutions,Backend Developer,Applied,,2026-08-20T10:29
APP00016,STU01398,COL005,New Horizon College of Engineering,CodeCraft,ML Engineer,Applied,,2026-08-27T16:56
APP00017,STU00284,COL005,New Horizon College of Engineering,BlueOrbit Labs,Business Analyst,Offer,5.7,2026-09-22T19:38
APP00018,STU01708,COL003,PES University,PrimeStack,Software Engineer,Interview,,2026-08-18T17:00
APP00019,STU01261,COL003,PES University,BrightWorks,ML Engineer,Interview,,2026-08-10T12:34
APP00020,STU00990,COL003,PES University,Aster Mobility,Software Engineer,Interview,,2026-09-01T09:37
APP00021,STU01861,COL001,BMS Institute of Technology,BrightWorks,Business Analyst,Offer,13.0,2026-08-30T10:01
APP00022,STU00512,COL002,RV College of Engineering,CodeCraft,Frontend Developer,Placed,9.6,2026-08-15T14:25
APP00023,STU00904,COL006,CMR Institute of Technology,PrimeStack,Data Analyst,Interview,,2026-08-20T14:55
APP00024,STU02254,COL005,New Horizon College of Engineering,Aster Mobility,Frontend Developer,Offer,13.5,2026-09-12T17:10
APP00025,STU00807,COL005,New Horizon College of Engineering,QuantEdge,Data Analyst,Offer,10.5,2026-08-18T10:51
APP00026,STU01678,COL006,CMR Institute of Technology,PrimeStack,Business Analyst,Placed,5.1,2026-09-17T18:12
APP00027,STU02298,COL006,CMR Institute of Technology,NextGen Labs,Data Analyst,Screening,,2026-09-26T12:03
APP00028,STU01464,COL005,New Horizon College of Engineering,BlueOrbit Labs,Data Analyst,Rejected,,2026-07-10T13:17
APP00029,STU01946,COL001,BMS Institute of Technology,DataNest,Data Analyst,Screening,,2026-08-13T16:49
APP00030,STU02040,COL002,RV College of Engineering,TechForge,Frontend Developer,Rejected,,2026-09-22T18:32
APP00031,STU00063,COL004,Dayananda Sagar College of Engineering,QuantEdge,Data Analyst,Applied,,2026-08-23T19:34
APP00032,STU02163,COL002,RV College of Engineering,FinEdge Solutions,Software Engineer,Screening,,2026-09-08T18:28
APP00033,STU00685,COL005,New Horizon College of Engineering,CloudMinds,ML Engineer,Offer,5.8,2026-08-13T12:54
APP00034,STU01176,COL001,BMS Institute of Technology,PrimeStack,Data Analyst,Interview,,2026-08-20T10:24
APP00035,STU00400,COL002,RV College of Engineering,QuantEdge,Data Analyst,Rejected,,2026-09-21T19:08
APP00036,STU00043,COL001,BMS Institute of Technology,FinEdge Solutions,Software Engineer,Screening,,2026-09-19T18:38
APP00037,STU01815,COL005,New Horizon College of Engineering,Aster Mobility,ML Engineer,Applied,,2026-08-22T12:13
APP00038,STU02030,COL004,Dayananda Sagar College of Engineering,CloudMinds,Software Engineer,Rejected,,2026-08-18T12:59
APP00039,STU01732,COL006,CMR Institute of Technology,PrimeStack,Frontend Developer,Offer,11.9,2026-08-09T09:48
APP00040,STU01076,COL002,RV College of Engineering,Orion Analytics,Software Engineer,Interview,,2026-07-17T16:11
APP00041,STU00524,COL006,CMR Institute of Technology,Nova Systems,Data Analyst,Applied,,2026-09-19T20:54
APP00042,STU01777,COL004,Dayananda Sagar College of Engineering,Orion Analytics,Software Engineer,Placed,9.9,2026-08-15T09:59
APP00043,STU01617,COL006,CMR Institute of Technology,CodeCraft,Backend Developer,Offer,6.9,2026-09-07T12:53
APP00044,STU00814,COL001,BMS Institute of Technology,BlueOrbit Labs,Software Engineer,Screening,,2026-09-11T09:11
APP00045,STU01383,COL002,RV College of Engineering,TechForge,Frontend Developer,Interview,,2026-08-28T17:20
APP00046,STU01134,COL006,CMR Institute of Technology,FinEdge Solutions,Business Analyst,Offer,11.3,2026-09-08T13:02
