student_id,college_id,college,city,branch,cgpa,active_backlogs,profile_complete,documents_verified,eligible,registered_at
STU00001,COL005,New Horizon College of Engineering,Bangalore,ECE,9.02,0,True,True,True,2026-07-21T17:20
STU00002,COL003,PES University,Bangalore,ISE,7.78,0,True,True,True,2026-07-28T15:26
STU00003,COL001,BMS Institute of Technology,Bangalore,ME,6.51,0,True,True,True,2026-08-16T19:20
STU00004,COL003,PES University,Bangalore,EEE,7.39,0,True,True,True,2026-08-18T11:42
STU00005,COL004,Dayananda Sagar College of Engineering,Bangalore,ISE,8.05,0,True,True,True,2026-08-05T13:01
STU00006,COL005,New Horizon College of Engineering,Bangalore,ISE,7.16,0,True,True,True,2026-08-05T12:37
STU00007,COL006,CMR Institute of Technology,Bangalore,EEE,8.02,0,True,True,True,2026-08-23T10:51
STU00008,COL006,CMR Institute of Technology,Bangalore,ECE,8.53,0,False,True,False,2026-07-11T17:06
STU00009,COL005,New Horizon College of Engineering,Bangalore,AI&ML,7.19,0,True,True,True,2026-07-05T16:04
STU00010,COL001,BMS Institute of Technology,Bangalore,ECE,6.92,0,True,True,True,2026-08-14T14:41
STU00011,COL005,New Horizon College of Engineering,Bangalore,AI&ML,6.59,0,True,True,True,2026-08-15T09:48
STU00012,COL002,RV College of Engineering,Bangalore,AI&ML,7.81,0,True,True,True,2026-07-01T17:36
STU00013,COL006,CMR Institute of Technology,Bangalore,ISE,8.13,0,True,True,True,2026-08-23T19:14
STU00014,COL001,BMS Institute of Technology,Bangalore,AI&ML,6.41,0,True,True,False,2026-07-05T13:53
STU00015,COL001,BMS Institute of Technology,Bangalore,ME,8.51,0,True,True,True,2026-08-17T13:26
STU00016,COL003,PES University,Bangalore,ECE,8.6,0,True,True,True,2026-07-08T10:52
STU00017,COL004,Dayananda Sagar College of Engineering,Bangalore,EEE,8.03,1,True,True,False,2026-07-01T15:23
STU00018,COL001,BMS Institute of Technology,Bangalore,ECE,7.59,0,True,True,True,2026-08-01T10:45
STU00019,COL003,PES University,Bangalore,ECE,6.9,0,True,True,True,2026-08-11T20:32
STU00020,COL004,Dayananda Sagar College of Engineering,Bangalore,ME,9.29,0,True,True,True,2026-07-06T10:14
STU00021,COL002,RV College of Engineering,Bangalore,ISE,7.11,0,False,True,False,2026-07-01T10:19
STU00022,COL005,New Horizon College of Engineering,Bangalore,ECE,7.62,0,True,True,True,2026-07-07T14:18
STU00023,COL006,CMR Institute of Technology,Bangalore,ME,7.09,0,True,True,True,2026-07-19T16:09
STU00024,COL004,Dayananda Sagar College of Engineering,Bangalore,EEE,6.24,1,True,True,False,2026-08-16T16:13
STU00025,COL002,RV College of Engineering,Bangalore,ME,7.65,0,True,True,True,2026-08-24T18:39
STU00026,COL003,PES University,Bangalore,AI&ML,7.21,0,True,True,True,2026-07-04T10:30
STU00027,COL004,Dayananda Sagar College of Engineering,Bangalore,ISE,7.32,2,True,True,False,2026-07-14T11:38
STU00028,COL004,Dayananda Sagar College of Engineering,Bangalore,ME,8.43,0,True,True,True,2026-08-14T10:59
STU00029,COL001,BMS Institute of Technology,Bangalore,ISE,7.03,2,False,False,False,2026-08-13T09:36
STU00030,COL006,CMR Institute of Technology,Bangalore,ISE,7.04,0,True,False,False,2026-07-11T19:20
STU00031,COL002,RV College of Engineering,Bangalore,ECE,7.14,0,True,False,False,2026-08-01T12:13
STU00032,COL003,PES University,Bangalore,ISE,8.31,0,True,True,True,2026-07-24T16:00
STU00033,COL001,BMS Institute of Technology,Bangalore,ISE,7.6,0,True,True,True,2026-08-25T14:08
STU00034,COL006,CMR Institute of Technology,Bangalore,EEE,8.39,0,True,True,True,2026-07-02T18:00
STU00035,COL002,RV College of Engineering,Bangalore,AI&ML,6.89,0,True,True,True,2026-07-07T15:24
STU00036,COL004,Dayananda Sagar College of Engineering,Bangalore,ECE,7.48,0,False,True,False,2026-08-11T14:41
STU00037,COL001,BMS Institute of Technology,Bangalore,ME,8.16,0,True,True,True,2026-08-24T17:22
STU00038,COL002,RV College of Engineering,Bangalore,CSE,7.54,0,True,True,True,2026-07-16T16:20
STU00039,COL003,PES University,Bangalore,AI&ML,7.42,0,True,True,True,2026-07-29T09:36
STU00040,COL002,RV College of Engineering,Bangalore,ISE,7.13,0,True,True,True,2026-08-05T16:41
STU00041,COL001,BMS Institute of Technology,Bangalore,EEE,7.07,0,True,True,True,2026-07-06T18:41
STU00042,COL006,CMR Institute of Technology,Bangalore,ECE,7.86,0,True,False,False,2026-07-27T13:17
STU00043,COL001,BMS Institute of Technology,Bangalore,ECE,7.4,0,True,True,True,2026-08-12T18:38
STU00044,COL005,New Horizon College of Engineering,Bangalore,AI&ML,9.09,1,True,True,False,2026-07-05T19:24
STU00045,COL006,CMR Institute of Technology,Bangalore,AI&ML,7.42,1,True,True,False,2026-07-06T12:04
STU00046,COL003,PES University,Bangalore,CSE,6.86,0,True,True,True,2026-07-12T15:02
STU00047,COL002,RV College of Engineering,Bangalore,EEE,8.21,0,True,True,True,2026-08-18T16:41
STU00048,COL005,New Horizon College of Engineering,Bangalore,EEE,7.29,1,True,False,False,2026-07-07T19:06
STU00049,COL001,BMS Institute of Technology,Bangalore,ECE,7.75,0,True,True,True,2026-07-04T19:37
STU00050,COL006,CMR Institute of Technology,Bangalore,CSE,7.94,1,False,True,False,2026-07-15T18:13
STU00051,COL001,BMS Institute of Technology,Bangalore,ME,6.78,1,True,True,False,2026-08-03T16:17
STU00052,COL003,PES University,Bangalore,EEE,6.38,0,True,True,False,2026-08-18T18:57
STU00053,COL004,Dayananda Sagar College of Engineering,Bangalore,ME,8.01,0,True,True,True,2026-08-25T14:01
STU00054,COL002,RV College of Engineering,Bangalore,EEE,7.38,2,True,True,False,2026-07-26T16:05
STU00055,COL002,RV College of Engineering,Bangalore,ECE,7.85,0,True,True,True,2026-07-04T17:54
STU00056,COL001,BMS Institute of Technology,Bangalore,ME,8.52,0,True,True,True,2026-07-18T19:34
STU00057,COL004,Dayananda Sagar College of Engineering,Bangalore,AI&ML,7.21,0,True,True,True,2026-08-23T13:29
STU00058,COL002,RV College of Engineering,Bangalore,CSE,8.54,0,True,True,True,2026-08-08T12:11
STU00059,COL003,PES University,Bangalore,EEE,7.2,0,True,True,True,2026-07-08T10:30
STU00060,COL002,RV College of Engineering,Bangalore,EEE,7.45,0,True,True,True,2026-07-06T18:45
STU00061,COL003,PES University,Bangalore,AI&ML,8.39,0,True,True,True,2026-07-22T13:42
STU00062,COL004,Dayananda Sagar College of Engineering,Bangalore,ECE,7.97,0,True,True,True,2026-07-19T11:32
STU00063,COL004,Dayananda Sagar College of Engineering,Bangalore,ECE,7.47,0,True,True,True,2026-07-18T19:34
STU00064,COL002,RV College of Engineering,Bangalore,CSE,7.4,0,True,True,True,2026-08-02T19:16
STU00065,COL004,Dayananda Sagar College of Engineering,Bangalore,ISE,7.7,0,True,True,True,2026-08-12T12:42
STU00066,COL004,Dayananda Sagar College of Engineering,Bangalore,ECE,7.58,0,True,True,True,2026-08-07T13:13
STU00067,COL004,Dayananda Sagar College of Engineering,Bangalore,AI&ML,7.58,0,True,True,True,2026-07-09T20:14
STU00068,COL001,BMS Institute of Technology,Bangalore,ISE,7.04,0,True,False,False,2026-07-23T15:56
STU00069,COL003,PES University,Bangalore,ME,7.5,0,True,True,True,2026-07-09T16:30
STU00070,COL005,New Horizon College of Engineering,Bangalore,AI&ML,8.28,0,True,True,True,2026-07-19T19:49
STU00071,COL003,PES University,Bangalore,ECE,7.95,0,False,True,False,2026-07-26T13:49
STU00072,COL006,CMR Institute of Technology,Bangalore,AI&ML,6.91,0,True,True,True,2026-08-21T17:32
STU00073,COL006,CMR Institute of Technology,Bangalore,ECE,8.41,0,True,False,False,2026-08-15T12:05
STU00074,COL004,Dayananda Sagar College of Engineering,Bangalore,AI&ML,7.21,0,True,True,True,2026-08-06T11:08
STU00075,COL001,BMS Institute of Technology,Bangalore,CSE,8.57,0,True,True,True,2026-07-31T16:45
STU00076,COL003,PES University,Bangalore,CSE,7.2,0,True,True,True,2026-07-23T14:20
STU00077,COL002,RV College of Engineering,Bangalore,ISE,8.57,1,True,True,False,2026-07-15T11:23
STU00078,COL006,CMR Institute of Technology,Bangalore,CSE,7.2,2,False,True,False,2026-07-20T13:27
STU00079,COL005,New Horizon College of Engineering,Bangalore,EEE,9.18,0,True,True,True,2026-07-18T19:11
STU00080,COL002,RV College of Engineering,Bangalore,ME,8.43,0,True,True,True,2026-07-16T11:30
STU00081,COL003,PES University,Bangalore,EEE,7.66,0,True,False,False,2026-07-27T10:02
STU00082,COL004,Dayananda Sagar College of Engineering,Bangalore,ECE,8.68,0,True,True,True,2026-07-23T19:26
STU00083,COL004,Dayananda Sagar College of Engineering,Bangalore,ISE,7.54,2,False,True,False,2026-08-25T09:20
STU00084,COL005,New Horizon College of Engineering,Bangalore,ISE,7.74,1,True,True,False,2026-07-27T12:49
STU00085,COL004,Dayananda Sagar College of Engineering,Bangalore,AI&ML,6.52,0,True,False,False,2026-07-30T11:43
STU00086,COL005,New Horizon College of Engineering,Bangalore,ECE,7.68,2,True,True,False,2026-07-06T14:33
STU00087,COL001,BMS Institute of Technology,Bangalore,AI&ML,6.5,1,True,True,False,2026-08-03T20:12
STU00088,COL001,BMS Institute of Technology,Bangalore,AI&ML,7.16,0,True,False,False,2026-07-23T18:59
STU00089,COL004,Dayananda Sagar College of Engineering,Bangalore,ME,6.76,0,True,True,True,2026-07-05T17:31
STU00090,COL003,PES University,Bangalore,ECE,7.42,0,True,False,False,2026-07-09T19:13
STU00091,COL001,BMS Institute of Technology,Bangalore,ECE,6.44,2,True,True,False,2026-08-01T18:37
STU00092,COL003,PES University,Bangalore,ISE,7.82,0,True,True,True,2026-07-30T10:17
STU00093,COL004,Dayananda Sagar College of Engineering,Bangalore,ECE,7.16,0,True,True,True,2026-08-21T20:34
STU00094,COL001,BMS Institute of Technology,Bangalore,CSE,7.51,1,True,False,False,2026-07-17T20:08
STU00095,COL001,BMS Institute of Technology,Bangalore,ISE,7.59,0,True,True,True,2026-08-05T11:27
STU00096,COL003,PES University,Bangalore,ECE,8.55,0,True,True,True,2026-08-22T20:44
STU00097,COL006,CMR Institute of Technology,Bangalore,AI&ML,7.74,0,True,True,True,2026-07-03T14:19
STU00098,COL005,New Horizon College of Engineering,Bangalore,ECE,7.0,0,True,True,True,2026-08-08T11:43
STU00099,COL005,New Horizon College of Engineering,Bangalore,ECE,6.81,0,True,True,True,2026-07-03T10:13
STU00100,COL006,CMR Institute of Technology,Bangalore,ME,8.22,1,True,True,False,2026-08-05T10:05
STU00101,COL002,RV College of Engineering,Bangalore,ECE,7.64,1,True,True,False,2026-07-14T14:32
STU00102,COL006,CMR Institute of Technology,Bangalore,CSE,7.65,0,True,True,True,2026-07-25T18:33
STU00103,COL005,New Horizon College of Engineering,Bangalore,EEE,6.19,0,True,False,False,2026-07-13T09:07
STU00104,COL001,BMS Institute of Technology,Bangalore,ECE,8.5,1,True,True,False,2026-07-29T18:36
STU00105,COL006,CMR Institute of Technology,Bangalore,CSE,7.59,0,True,True,True,2026-08-16T10:31
STU00106,COL005,New Horizon College of Engineering,Bangalore,ISE,6.96,0,True,True,True,2026-08-18T19:18
STU00107,COL003,PES University,Bangalore,CSE,6.98,0,True,True,True,2026-07-30T11:56
STU00108,COL003,PES University,Bangalore,ISE,8.23,0,True,True,True,2026-07-30T10:06
STU00109,COL002,RV College of Engineering,Bangalore,CSE,8.22,0,True,True,True,2026-07-16T19:51
STU00110,COL006,CMR Institute of Technology,Bangalore,ME,6.45,0,True,True,False,2026-08-12T19:32
STU00111,COL001,BMS Institute of Technology,Bangalore,AI&ML,8.96,0,True,True,True,2026-07-20T16:08
STU00112,COL006,CMR Institute of Technology,Bangalore,ECE,7.77,0,True,True,True,2026-07-19T18:06
STU00113,COL005,New Horizon College of Engineering,Bangalore,CSE,8.35,0,True,True,True,2026-07-27T20:01
STU00114,COL001,BMS Institute of Technology,Bangalore,AI&ML,8.54,0,True,True,True,2026-08-19T19:55
STU00115,COL002,RV College of Engineering,Bangalore,EEE,7.13,0,True,True,True,2026-07-18T16:32
STU00116,COL005,New Horizon College of Engineering,Bangalore,ECE,8.35,0,True,True,True,2026-07-26T10:16
STU00117,COL003,PES University,Bangalore,ISE,7.62,1,True,True,False,2026-07-21T10:52
STU00118,COL004,Dayananda Sagar College of Engineering,Bangalore,CSE,7.68,0,True,True,True,2026-07-01T16:39
STU00119,COL004,Dayananda Sagar College of Engineering,Bangalore,AI&ML,7.07,0,True,True,True,2026-07-10T15:19
STU00120,COL005,New Horizon College of Engineering,Bangalore,ISE,7.01,0,True,True,True,2026-07-18T20:08
STU00121,COL002,RV College of Engineering,Bangalore,ECE,7.41,0,False,False,False,2026-07-31T09:34
STU00122,COL005,New Horizon College of Engineering,Bangalore,EEE,7.82,0,True,True,True,2026-07-20T09:30
STU00123,COL004,Dayananda Sagar College of Engineering,Bangalore,CSE,8.29,0,True,True,True,2026-07-12T13:09
STU00124,COL001,BMS Institute of Technology,Bangalore,CSE,7.79,0,True,True,True,2026-08-09T20:22
STU00125,COL006,CMR Institute of Technology,Bangalore,ECE,7.83,0,True,True,True,2026-08-20T09:34
STU00126,COL004,Dayananda Sagar College of Engineering,Bangalore,CSE,6.19,0,True,True,False,2026-08-08T10:45
STU00127,COL005,New Horizon College of Engineering,Bangalore,AI&ML,8.3,0,True,True,True,2026-08-20T09:26
STU00128,COL002,RV College of Engineering,Bangalore,CSE,8.15,1,True,True,False,2026-07-09T10:48
STU00129,COL002,RV College of Engineering,Bangalore,CSE,7.73,0,True,True,True,2026-08-06T15:24
STU00130,COL005,New Horizon College of Engineering,Bangalore,EEE,6.82,0,True,True,True,2026-08-03T12:54
STU00131,COL002,RV College of Engineering,Bangalore,ISE,8.0,0,True,True,True,2026-08-09T12:08
STU00132,COL003,PES University,Bangalore,ECE,7.1,0,True,True,True,2026-07-30T16:45
STU00133,COL006,CMR Institute of Technology,Bangalore,CSE,7.89,0,True,True,True,2026-08-06T12:43
STU00134,COL005,New Horizon College of Engineering,Bangalore,CSE,8.1,0,True,True,True,2026-07-05T18:30
STU00135,COL005,New Horizon College of Engineering,Bangalore,AI&ML,8.4,0,True,True,True,2026-07-08T17:14
STU00136,COL002,RV College of Engineering,Bangalore,AI&ML,7.94,0,True,False,False,2026-07-10T15:28
STU00137,COL006,CMR Institute of Technology,Bangalore,ISE,7.63,1,True,True,False,2026-08-13T15:49
STU00138,COL005,New Horizon College of Engineering,Bangalore,ISE,7.8,0,True,False,False,2026-08-01T12:14
STU00139,COL006,CMR Institute of Technology,Bangalore,ECE,7.36,0,True,True,True,2026-08-22T09:37
STU00140,COL005,New Horizon College of Engineering,Bangalore,AI&ML,8.4,0,True,True,True,2026-07-02T12:01
STU00141,COL003,PES University,Bangalore,CSE,8.86,0,True,True,True,2026-08-09T14:58
STU00142,COL005,New Horizon College of Engineering,Bangalore,ECE,7.49,0,False,True,False,2026-08-19T16:14
STU00143,COL003,PES University,Bangalore,CSE,7.89,0,True,True,True,2026-07-06T12:12
STU00144,COL006,CMR Institute of Technology,Bangalore,EEE,6.66,0,False,True,False,2026-08-16T14:31
STU00145,COL006,CMR Institute of Technology,Bangalore,ISE,7.05,0,True,False,False,2026-07-06T09:11
STU00146,COL001,BMS Institute of Technology,Bangalore,ME,7.17,1,True,True,False,2026-07-11T17:01
STU00147,COL006,CMR Institute of Technology,Bangalore,ME,8.42,0,True,True,True,2026-08-06T19:38
STU00148,COL003,PES University,Bangalore,ISE,7.82,0,True,True,True,2026-08-07T20:24
STU00149,COL004,Dayananda Sagar College of Engineering,Bangalore,ISE,6.98,1,True,True,False,2026-07-25T10:12
STU00150,COL003,PES University,Bangalore,CSE,7.06,0,True,True,True,2026-07-17T20:55
STU00151,COL004,Dayananda Sagar College of Engineering,Bangalore,ISE,6.81,0,True,True,True,2026-08-03T13:10
STU00152,COL002,RV College of Engineering,Bangalore,ISE,8.34,0,True,True,True,2026-07-06T12:10
STU00153,COL003,PES University,Bangalore,ISE,9.04,0,True,True,True,2026-07-04T20:52
STU00154,COL004,Dayananda Sagar College of Engineering,Bangalore,ME,8.01,0,True,True,True,2026-07-26T16:41
STU00155,COL001,BMS Institute of Technology,Bangalore,ECE,6.61,0,True,False,False,2026-07-11T16:18
STU00156,COL004,Dayananda Sagar College of Engineering,Bangalore,ME,8.28,0,True,True,True,2026-07-11T09:27
STU00157,COL002,RV College of Engineering,Bangalore,ECE,6.89,0,True,True,True,2026-07-02T20:34
STU00158,COL004,Dayananda Sagar College of Engineering,Bangalore,ISE,6.95,0,True,True,True,2026-08-08T17:29
STU00159,COL005,New Horizon College of Engineering,Bangalore,EEE,7.15,0,True,True,True,2026-07-15T17:31
STU00160,COL004,Dayananda Sagar College of Engineering,Bangalore,ISE,8.26,0,True,True,True,2026-08-12T13:41
STU00161,COL001,BMS Institute of Technology,Bangalore,ME,6.97,0,True,True,True,2026-07-08T12:23
STU00162,COL004,Dayananda Sagar College of Engineering,Bangalore,ISE,7.5,1,True,True,False,2026-07-19T14:06
STU00163,COL003,PES University,Bangalore,EEE,6.25,1,True,True,False,2026-07-23T14:28
STU00164,COL001,BMS Institute of Technology,Bangalore,EEE,8.23,0,True,True,True,2026-07-03T13:33
STU00165,COL001,BMS Institute of Technology,Bangalore,EEE,7.25,0,True,True,True,2026-08-10T19:17
STU00166,COL001,BMS Institute of Technology,Bangalore,ME,7.68,2,True,True,False,2026-08-12T17:53
STU00167,COL002,RV College of Engineering,Bangalore,ME,6.68,0,False,True,False,2026-07-26T17:35
STU00168,COL003,PES University,Bangalore,CSE,8.64,0,True,True,True,2026-08-05T19:14
STU00169,COL004,Dayananda Sagar College of Engineering,Bangalore,ISE,7.22,0,True,True,True,2026-07-04T11:40
STU00170,COL004,Dayananda Sagar College of Engineering,Bangalore,ECE,7.45,1,True,True,False,2026-08-21T20:48
STU00171,COL004,Dayananda Sagar College of Engineering,Bangalore,CSE,8.33,0,True,True,True,2026-08-05T17:39
STU00172,COL002,RV College of Engineering,Bangalore,EEE,8.01,0,False,True,False,2026-07-12T17:08
STU00173,COL001,BMS Institute of Technology,Bangalore,ME,7.58,0,True,True,True,2026-07-18T12:58
STU00174,COL005,New Horizon College of Engineering,Bangalore,CSE,7.98,0,True,True,True,2026-08-18T11:07
STU00175,COL001,BMS Institute of Technology,Bangalore,CSE,7.72,0,True,True,True,2026-07-03T15:08
STU00176,COL001,BMS Institute of Technology,Bangalore,AI&ML,6.67,1,True,True,False,2026-07-19T16:57
STU00177,COL004,Dayananda Sagar College of Engineering,Bangalore,CSE,7.64,2,True,True,False,2026-07-15T10:28
