event_id,event_name,event_timestamp,company_id,search_id,session_id,search_category,location,platform,source,event_version,result_view_id,result_count,listing_id,position,contact_id,contact_channel,engagement_id,engagement_type,match_id,match_type,outcome_id,outcome_type,outcome_status
E000008,search_performed,2026-08-01 09:35:00,C035,SEARCH_00003,SESSION_00003,Data Analyst,Pune,mobile,referral,1.0,,,,,,,,,,,,,
E000009,search_result_viewed,2026-08-01 09:35:27,C035,SEARCH_00003,SESSION_00003,Data Analyst,Pune,web,referral,1.0,RESULT_00003,6.0,,,,,,,,,,,
E000034,search_performed,2026-08-01 09:42:00,C027,SEARCH_00012,SESSION_00012,Software Developer,Bengaluru,mobile,referral,1.0,,,,,,,,,,,,,
E000035,search_result_viewed,2026-08-01 09:44:09,C027,SEARCH_00012,SESSION_00012,Software Developer,Bengaluru,web,organic,1.0,RESULT_00012,28.0,,,,,,,,,,,
E000036,listing_viewed,2026-08-01 09:47:25,C027,SEARCH_00012,SESSION_00012,Software Developer,Bengaluru,web,direct,1.0,,,LISTING_00008,6.0,,,,,,,,,
E000037,company_contact_started,2026-08-01 10:22:25,C027,SEARCH_00012,SESSION_00012,Software Developer,Bengaluru,web,campaign,1.0,,,LISTING_00008,,CONTACT_00004,email,,,,,,,
E000018,search_performed,2026-08-01 10:32:00,C026,SEARCH_00006,SESSION_00006,Business Analyst,Hyderabad,mobile,organic,1.0,,,,,,,,,,,,,
E000019,search_result_viewed,2026-08-01 10:32:38,C026,SEARCH_00006,SESSION_00006,Business Analyst,Hyderabad,web,campaign,1.0,RESULT_00006,9.0,,,,,,,,,,,
E000020,listing_viewed,2026-08-01 10:34:26,C026,SEARCH_00006,SESSION_00006,Business Analyst,Hyderabad,mobile,referral,1.0,,,LISTING_00005,7.0,,,,,,,,,
E000027,search_performed,2026-08-01 10:42:00,C005,SEARCH_00009,SESSION_00009,Digital Marketer,Hyderabad,mobile,direct,1.0,,,,,,,,,,,,,
E000028,search_result_viewed,2026-08-01 10:44:45,C005,SEARCH_00009,SESSION_00009,Digital Marketer,Hyderabad,web,direct,1.0,RESULT_00009,18.0,,,,,,,,,,,
E000040,search_performed,2026-08-01 11:10:00,C035,SEARCH_00013,SESSION_00013,Data Analyst,Bengaluru,mobile,campaign,1.0,,,,,,,,,,,,,
E000041,search_result_viewed,2026-08-01 11:11:52,C035,SEARCH_00013,SESSION_00013,Data Analyst,Bengaluru,web,campaign,1.0,RESULT_00013,6.0,,,,,,,,,,,
E000042,listing_viewed,2026-08-01 11:13:41,C035,SEARCH_00013,SESSION_00013,Data Analyst,Bengaluru,mobile,referral,1.0,,,LISTING_00009,5.0,,,,,,,,,
E000001,search_performed,2026-08-01 11:14:00,C008,SEARCH_00001,SESSION_00001,Data Analyst,Mumbai,web,organic,1.0,,,,,,,,,,,,,
E000002,search_result_viewed,2026-08-01 11:16:29,C008,SEARCH_00001,SESSION_00001,Data Analyst,Mumbai,mobile,organic,1.0,RESULT_00001,7.0,,,,,,,,,,,
E000032,search_performed,2026-08-01 11:17:00,C022,SEARCH_00011,SESSION_00011,Data Analyst,Chennai,mobile,direct,1.0,,,,,,,,,,,,,
E000003,listing_viewed,2026-08-01 11:17:34,C008,SEARCH_00001,SESSION_00001,Data Analyst,Mumbai,web,direct,1.0,,,LISTING_00001,4.0,,,,,,,,,
E000033,search_result_viewed,2026-08-01 11:19:36,C022,SEARCH_00011,SESSION_00011,Data Analyst,Chennai,mobile,direct,1.0,RESULT_00011,23.0,,,,,,,,,,,
E000043,company_contact_started,2026-08-01 12:00:41,C035,SEARCH_00013,SESSION_00013,Data Analyst,Bengaluru,mobile,direct,1.0,,,LISTING_00009,,CONTACT_00005,phone,,,,,,,
E000010,search_performed,2026-08-01 12:29:00,C015,SEARCH_00004,SESSION_00004,Data Analyst,Pune,mobile,direct,1.0,,,,,,,,,,,,,
E000011,search_result_viewed,2026-08-01 12:30:03,C015,SEARCH_00004,SESSION_00004,Data Analyst,Pune,mobile,organic,1.0,RESULT_00004,26.0,,,,,,,,,,,
E000012,listing_viewed,2026-08-01 12:30:56,C015,SEARCH_00004,SESSION_00004,Data Analyst,Pune,web,direct,1.0,,,LISTING_00003,9.0,,,,,,,,,
E000021,search_performed,2026-08-01 12:49:00,C001,SEARCH_00007,SESSION_00007,Data Analyst,Chennai,mobile,organic,1.0,,,,,,,,,,,,,
E000022,search_result_viewed,2026-08-01 12:49:50,C001,SEARCH_00007,SESSION_00007,Data Analyst,Chennai,web,referral,1.0,RESULT_00007,19.0,,,,,,,,,,,
E000045,search_performed,2026-08-01 15:32:00,C004,SEARCH_00014,SESSION_00014,Data Analyst,Chennai,web,organic,1.0,,,,,,,,,,,,,
E000004,search_performed,2026-08-01 15:37:00,C035,SEARCH_00002,SESSION_00002,UI/UX Designer,Hyderabad,mobile,organic,1.0,,,,,,,,,,,,,
E000005,search_result_viewed,2026-08-01 15:37:50,C035,SEARCH_00002,SESSION_00002,UI/UX Designer,Hyderabad,mobile,referral,1.0,RESULT_00002,27.0,,,,,,,,,,,
E000006,listing_viewed,2026-08-01 15:38:55,C035,SEARCH_00002,SESSION_00002,UI/UX Designer,Hyderabad,web,organic,1.0,,,LISTING_00002,6.0,,,,,,,,,
E000007,company_contact_started,2026-08-01 16:01:55,C035,SEARCH_00002,SESSION_00002,UI/UX Designer,Hyderabad,mobile,organic,1.0,,,LISTING_00002,,CONTACT_00001,email,,,,,,,
E000029,search_performed,2026-08-01 16:28:00,C026,SEARCH_00010,SESSION_00010,Business Analyst,Pune,web,direct,1.0,,,,,,,,,,,,,
E000030,search_result_viewed,2026-08-01 16:29:36,C026,SEARCH_00010,SESSION_00010,Business Analyst,Pune,web,direct,1.0,RESULT_00010,5.0,,,,,,,,,,,
E000031,listing_viewed,2026-08-01 16:32:47,C026,SEARCH_00010,SESSION_00010,Business Analyst,Pune,web,organic,1.0,,,LISTING_00007,1.0,,,,,,,,,
E000023,search_performed,2026-08-01 18:19:00,C012,SEARCH_00008,SESSION_00008,Digital Marketer,Bengaluru,web,direct,1.0,,,,,,,,,,,,,
E000024,search_result_viewed,2026-08-01 18:19:51,C012,SEARCH_00008,SESSION_00008,Digital Marketer,Bengaluru,web,referral,1.0,RESULT_00008,22.0,,,,,,,,,,,
