company_id,first_paid_date,cohort_month,recognized_revenue,refund_amount,successful_payments,net_revenue,payer_type
CMP001,2026-08-01 09:44:30,2026-08,18517.11,19779.23,18,-1262.119999999999,Repeat
CMP002,2026-08-04 08:07:53,2026-08,16404.75,1185.76,19,15218.99,Repeat
CMP003,2026-08-01 15:40:58,2026-08,16755.14,1492.64,17,15262.5,Repeat
CMP004,2026-08-02 15:09:10,2026-08,20872.96,14610.14,18,6262.82,Repeat
CMP005,2026-08-04 17:18:54,2026-08,31528.65,45557.75,28,-14029.099999999999,Repeat
CMP006,2026-08-04 11:30:09,2026-08,14328.48,0.0,16,14328.48,Repeat
CMP007,2026-08-02 08:25:58,2026-08,12486.630000000001,0.0,12,12486.630000000001,Repeat
CMP008,2026-08-03 12:56:11,2026-08,18730.52,37762.69,19,-19032.170000000002,Repeat
CMP009,2026-08-03 14:37:49,2026-08,16868.190000000002,0.0,19,16868.190000000002,Repeat
CMP010,2026-08-03 12:36:40,2026-08,19001.48,0.0,19,19001.48,Repeat
CMP011,2026-08-01 18:31:00,2026-08,14366.22,8516.78,18,5849.439999999999,Repeat
CMP012,2026-08-03 16:47:24,2026-08,29195.73,28818.68,28,377.0499999999993,Repeat
CMP013,2026-08-08 13:49:33,2026-08,16834.98,30678.59,19,-13843.61,Repeat
CMP014,2026-08-01 10:34:03,2026-08,20779.52,21455.440000000002,21,-675.9200000000019,Repeat
CMP015,2026-08-03 10:44:13,2026-08,20070.85,5456.61,22,14614.239999999998,Repeat
CMP016,2026-08-02 17:38:23,2026-08,28658.9,18003.699999999997,26,10655.200000000004,Repeat
CMP017,2026-08-01 12:53:41,2026-08,27668.2,18992.83,21,8675.369999999999,Repeat
CMP018,2026-08-01 17:18:49,2026-08,26116.6,0.0,22,26116.6,Repeat
CMP019,2026-08-03 08:21:14,2026-08,19091.56,6253.71,18,12837.850000000002,Repeat
CMP020,2026-08-03 14:33:18,2026-08,38036.22,33616.840000000004,32,4419.379999999997,Repeat
CMP021,2026-08-01 11:12:18,2026-08,18228.56,0.0,20,18228.56,Repeat
CMP022,2026-08-01 17:31:35,2026-08,27175.739999999998,18269.47,24,8906.269999999997,Repeat
CMP023,2026-08-03 15:15:23,2026-08,20127.59,30145.87,24,-10018.279999999999,Repeat
CMP024,2026-08-03 11:55:05,2026-08,21291.84,13002.86,23,8288.98,Repeat
CMP025,2026-08-01 09:23:06,2026-08,26411.21,21167.71,24,5243.5,Repeat
CMP026,2026-08-02 12:13:51,2026-08,29958.09,23011.64,30,6946.450000000001,Repeat
CMP027,2026-08-03 09:56:30,2026-08,19925.14,16645.87,19,3279.2700000000004,Repeat
CMP028,2026-08-02 16:55:46,2026-08,31723.0,9377.720000000001,30,22345.28,Repeat
CMP029,2026-08-01 13:07:39,2026-08,17510.52,32702.0,19,-15191.48,Repeat
CMP030,2026-08-01 18:40:03,2026-08,11950.08,12799.939999999999,15,-849.8599999999988,Repeat
