application_id,student_id,company,recruiter,stage,placed,offer_value
APP20000,S10000,LogicLoop,Recruiter A,Interview,False,
APP20001,S10005,NextGen Systems,Recruiter B,Screening,False,
APP20002,S10008,CloudSprint,Recruiter G,Screening,False,
APP20003,S10009,HealthByte,Recruiter G,Screening,False,
APP20004,S10010,MarketMint,Recruiter F,Offer,True,6.370368610027734
APP20005,S10012,TechNova,Recruiter G,Screening,False,
APP20006,S10013,FinEdge,Recruiter A,Submitted,False,
APP20007,S10014,DataForge,Recruiter B,Submitted,False,
APP20008,S10016,CloudSprint,Recruiter D,Rejected,False,
APP20009,S10019,BuildRight,Recruiter A,Rejected,False,
APP20010,S10021,CloudSprint,Recruiter C,Submitted,False,
APP20011,S10022,HealthByte,Recruiter F,Submitted,False,
APP20012,S10023,FinEdge,Recruiter F,Interview,False,
APP20013,S10024,CloudSprint,Recruiter E,Interview,False,
APP20014,S10025,DataForge,Recruiter F,Screening,False,
APP20015,S10028,InnoWorks,Recruiter E,Submitted,False,
APP20016,S10029,MarketMint,Recruiter A,Submitted,False,
APP20017,S10031,RetailPulse,Recruiter E,Rejected,False,
APP20018,S10032,HealthByte,Recruiter A,Interview,False,
APP20019,S10037,NextGen Systems,Recruiter E,Rejected,False,
APP20020,S10039,DataForge,Recruiter E,Submitted,False,
APP20021,S10042,LogicLoop,Recruiter A,Interview,False,
APP20022,S10045,CloudSprint,Recruiter F,Screening,False,
APP20023,S10046,TechNova,Recruiter E,Interview,False,
APP20024,S10050,FinEdge,Recruiter D,Submitted,False,
APP20025,S10051,TechNova,Recruiter G,Rejected,False,
APP20026,S10052,InnoWorks,Recruiter H,Rejected,False,
APP20027,S10056,FinEdge,Recruiter A,Offer,False,7.630938529282311
APP20028,S10058,NextGen Systems,Recruiter B,Screening,False,
APP20029,S10059,TechNova,Recruiter A,Screening,False,
APP20030,S10061,InnoWorks,Recruiter A,Offer,False,10.49970949537697
APP20031,S10062,InnoWorks,Recruiter G,Rejected,False,
APP20032,S10063,FinEdge,Recruiter H,Screening,False,
APP20033,S10064,LogicLoop,Recruiter C,Rejected,False,
APP20034,S10065,RetailPulse,Recruiter C,Offer,True,7.7029731871954645
APP20035,S10067,LogicLoop,Recruiter G,Interview,False,
APP20036,S10068,CloudSprint,Recruiter F,Rejected,False,
APP20037,S10069,HealthByte,Recruiter G,Screening,False,
APP20038,S10074,MarketMint,Recruiter C,Submitted,False,
APP20039,S10075,DataForge,Recruiter A,Submitted,False,
APP20040,S10076,DataForge,Recruiter B,Submitted,False,
APP20041,S10077,TechNova,Recruiter H,Rejected,False,
APP20042,S10078,DataForge,Recruiter B,Submitted,False,
APP20043,S10080,FinEdge,Recruiter C,Offer,False,5.224862060897471
APP20044,S10081,FinEdge,Recruiter D,Submitted,False,
APP20045,S10084,HealthByte,Recruiter C,Rejected,False,
APP20046,S10085,LogicLoop,Recruiter E,Interview,False,
APP20047,S10089,CloudSprint,Recruiter A,Submitted,False,
APP20048,S10093,NextGen Systems,Recruiter C,Offer,True,9.364645689958545
