student_id,college,profile_complete,documents_verified,eligible
S10000,CMR Institute of Technology,True,True,True
S10001,Dayananda Sagar College of Engineering,True,False,False
S10002,New Horizon College of Engineering,True,True,False
S10003,Dayananda Sagar College of Engineering,True,True,False
S10004,New Horizon College of Engineering,True,True,False
S10005,Dayananda Sagar College of Engineering,True,True,True
S10006,Dayananda Sagar College of Engineering,True,True,False
S10007,Dayananda Sagar College of Engineering,True,False,False
S10008,RV College of Engineering,True,True,True
S10009,PES University,True,True,True
S10010,BMS Institute of Technology,True,True,True
S10011,Dayananda Sagar College of Engineering,False,True,False
S10012,New Horizon College of Engineering,True,True,True
S10013,RV College of Engineering,True,True,True
S10014,BMS Institute of Technology,True,True,True
S10015,PES University,True,True,False
S10016,CMR Institute of Technology,True,True,True
S10017,New Horizon College of Engineering,False,True,False
S10018,PES University,False,True,False
S10019,BMS Institute of Technology,True,True,True
S10020,PES University,True,False,False
S10021,RV College of Engineering,True,True,True
S10022,PES University,True,True,True
S10023,Dayananda Sagar College of Engineering,True,True,True
S10024,CMR Institute of Technology,True,True,True
S10025,PES University,True,True,True
S10026,CMR Institute of Technology,False,True,False
S10027,PES University,True,False,False
S10028,CMR Institute of Technology,True,True,True
S10029,Dayananda Sagar College of Engineering,True,True,True
S10030,PES University,True,True,False
S10031,BMS Institute of Technology,True,True,True
S10032,RV College of Engineering,True,True,True
S10033,BMS Institute of Technology,False,True,False
S10034,CMR Institute of Technology,True,True,False
S10035,RV College of Engineering,False,True,False
S10036,Dayananda Sagar College of Engineering,True,True,False
S10037,CMR Institute of Technology,True,True,True
S10038,BMS Institute of Technology,True,True,False
S10039,Dayananda Sagar College of Engineering,True,True,True
S10040,RV College of Engineering,True,False,False
S10041,PES University,True,True,False
S10042,PES University,True,True,True
S10043,RV College of Engineering,True,True,False
S10044,PES University,True,False,False
S10045,Dayananda Sagar College of Engineering,True,True,True
S10046,PES University,True,True,True
S10047,CMR Institute of Technology,True,True,False
S10048,RV College of Engineering,True,False,False
S10049,PES University,True,True,False
S10050,CMR Institute of Technology,True,True,True
S10051,PES University,True,True,True
S10052,CMR Institute of Technology,True,True,True
S10053,RV College of Engineering,True,True,False
S10054,PES University,True,True,False
S10055,New Horizon College of Engineering,True,True,False
S10056,BMS Institute of Technology,True,True,True
S10057,New Horizon College of Engineering,True,False,False
S10058,PES University,True,True,True
S10059,BMS Institute of Technology,True,True,True
S10060,BMS Institute of Technology,True,True,False
S10061,RV College of Engineering,True,True,True
S10062,Dayananda Sagar College of Engineering,True,True,True
S10063,RV College of Engineering,True,True,True
S10064,Dayananda Sagar College of Engineering,True,True,True
S10065,BMS Institute of Technology,True,True,True
S10066,CMR Institute of Technology,False,True,False
S10067,Dayananda Sagar College of Engineering,True,True,True
S10068,CMR Institute of Technology,True,True,True
S10069,BMS Institute of Technology,True,True,True
S10070,New Horizon College of Engineering,False,True,False
S10071,CMR Institute of Technology,True,True,False
S10072,BMS Institute of Technology,False,True,False
S10073,PES University,True,True,False
S10074,CMR Institute of Technology,True,True,True
S10075,RV College of Engineering,True,True,True
S10076,CMR Institute of Technology,True,True,True
S10077,Dayananda Sagar College of Engineering,True,True,True
S10078,RV College of Engineering,True,True,True
S10079,Dayananda Sagar College of Engineering,True,False,False
S10080,Dayananda Sagar College of Engineering,True,True,True
S10081,New Horizon College of Engineering,True,True,True
S10082,RV College of Engineering,True,True,False
S10083,BMS Institute of Technology,True,True,False
S10084,BMS Institute of Technology,True,True,True
S10085,BMS Institute of Technology,True,True,True
S10086,CMR Institute of Technology,False,True,False
S10087,RV College of Engineering,False,True,False
S10088,Dayananda Sagar College of Engineering,True,False,False
S10089,BMS Institute of Technology,True,True,True
S10090,BMS Institute of Technology,False,True,False
S10091,Dayananda Sagar College of Engineering,True,True,False
S10092,PES University,True,True,False
S10093,BMS Institute of Technology,True,True,True
S10094,CMR Institute of Technology,True,True,False
S10095,PES University,True,True,False
S10096,RV College of Engineering,True,True,True
S10097,New Horizon College of Engineering,True,True,False
S10098,New Horizon College of Engineering,True,True,False
S10099,New Horizon College of Engineering,True,True,True
S10100,New Horizon College of Engineering,True,True,True
S10101,BMS Institute of Technology,True,True,False
S10102,BMS Institute of Technology,True,True,True
S10103,CMR Institute of Technology,True,True,True
S10104,CMR Institute of Technology,True,True,True
S10105,New Horizon College of Engineering,True,True,False
S10106,CMR Institute of Technology,True,True,False
S10107,RV College of Engineering,True,True,True
S10108,New Horizon College of Engineering,True,True,True
S10109,New Horizon College of Engineering,True,True,True
S10110,CMR Institute of Technology,True,True,True
S10111,RV College of Engineering,True,True,True
S10112,Dayananda Sagar College of Engineering,True,True,True
S10113,RV College of Engineering,True,True,True
S10114,PES University,True,True,False
S10115,PES University,True,True,True
S10116,RV College of Engineering,True,True,False
S10117,BMS Institute of Technology,True,False,False
S10118,RV College of Engineering,True,True,True
S10119,BMS Institute of Technology,True,True,True
S10120,BMS Institute of Technology,True,True,False
S10121,New Horizon College of Engineering,True,False,False
S10122,RV College of Engineering,True,True,False
S10123,RV College of Engineering,True,True,True
S10124,Dayananda Sagar College of Engineering,True,False,False
S10125,RV College of Engineering,True,True,False
S10126,Dayananda Sagar College of Engineering,True,True,False
S10127,New Horizon College of Engineering,False,True,False
S10128,PES University,True,True,False
S10129,RV College of Engineering,True,True,True
S10130,Dayananda Sagar College of Engineering,True,True,True
S10131,RV College of Engineering,True,True,True
S10132,New Horizon College of Engineering,True,True,True
S10133,BMS Institute of Technology,True,True,True
