event_id,event_name,event_timestamp,seller_id,job_id,session_id,source,platform,event_version,job_category,location,skill_count,publication_status,close_reason,changed_fields,pause_reason
E000001,job_post_started,2026-08-01 11:08:00,S001,J0001,SESS_J0001,synthetic_demo,web,1.0,Business Analyst,Hyderabad,,,,,
E000002,job_post_completed,2026-08-01 11:19:00,S001,J0001,SESS_J0001,synthetic_demo,mobile,1.0,Business Analyst,Hyderabad,6.0,,,,
E000003,job_post_published,2026-08-01 12:50:00,S001,J0001,SESS_J0001,synthetic_demo,web,1.0,Business Analyst,Hyderabad,,published,,,
E000004,job_post_closed,2026-08-06 12:50:00,S001,J0001,SESS_J0001,synthetic_demo,mobile,1.0,Business Analyst,Hyderabad,,,expired,,
E000005,job_post_started,2026-08-01 12:51:00,S008,J0002,SESS_J0002,synthetic_demo,web,1.0,UI/UX Designer,Chennai,,,,,
E000006,job_post_completed,2026-08-01 12:56:00,S008,J0002,SESS_J0002,synthetic_demo,mobile,1.0,UI/UX Designer,Chennai,7.0,,,,
E000007,job_post_published,2026-08-01 14:38:00,S008,J0002,SESS_J0002,synthetic_demo,web,1.0,UI/UX Designer,Chennai,,published,,,
E000008,job_post_closed,2026-08-09 14:38:00,S008,J0002,SESS_J0002,synthetic_demo,mobile,1.0,UI/UX Designer,Chennai,,,position_filled,,
E000009,job_post_started,2026-08-01 12:51:00,S028,J0003,SESS_J0003,synthetic_demo,mobile,1.0,Business Analyst,Chennai,,,,,
E000010,job_post_completed,2026-08-01 12:58:00,S028,J0003,SESS_J0003,synthetic_demo,web,1.0,Business Analyst,Chennai,6.0,,,,
E000011,job_post_started,2026-08-01 12:53:00,S013,J0004,SESS_J0004,synthetic_demo,mobile,1.0,Data Analyst,Chennai,,,,,
E000012,job_post_completed,2026-08-01 13:38:00,S013,J0004,SESS_J0004,synthetic_demo,web,1.0,Data Analyst,Chennai,6.0,,,,
E000013,job_post_published,2026-08-01 15:02:00,S013,J0004,SESS_J0004,synthetic_demo,web,1.0,Data Analyst,Chennai,,published,,,
E000014,job_post_started,2026-08-01 14:17:00,S028,J0005,SESS_J0005,synthetic_demo,mobile,1.0,Software Developer,Bengaluru,,,,,
E000015,job_post_completed,2026-08-01 14:51:00,S028,J0005,SESS_J0005,synthetic_demo,mobile,1.0,Software Developer,Bengaluru,3.0,,,,
E000016,job_post_published,2026-08-01 16:17:00,S028,J0005,SESS_J0005,synthetic_demo,mobile,1.0,Software Developer,Bengaluru,,published,,,
E000017,job_post_closed,2026-08-13 16:17:00,S028,J0005,SESS_J0005,synthetic_demo,web,1.0,Software Developer,Bengaluru,,,position_filled,,
E000018,job_post_started,2026-08-02 16:14:00,S015,J0006,SESS_J0006,synthetic_demo,web,1.0,UI/UX Designer,Mumbai,,,,,
E000019,job_post_completed,2026-08-02 16:39:00,S015,J0006,SESS_J0006,synthetic_demo,web,1.0,UI/UX Designer,Mumbai,3.0,,,,
E000020,job_post_published,2026-08-02 18:31:00,S015,J0006,SESS_J0006,synthetic_demo,mobile,1.0,UI/UX Designer,Mumbai,,published,,,
E000021,job_post_started,2026-08-02 15:25:00,S029,J0007,SESS_J0007,synthetic_demo,mobile,1.0,Business Analyst,Hyderabad,,,,,
E000022,job_post_completed,2026-08-02 15:59:00,S029,J0007,SESS_J0007,synthetic_demo,web,1.0,Business Analyst,Hyderabad,3.0,,,,
E000023,job_post_published,2026-08-02 16:22:00,S029,J0007,SESS_J0007,synthetic_demo,mobile,1.0,Business Analyst,Hyderabad,,published,,,
E000024,job_post_started,2026-08-02 16:31:00,S012,J0008,SESS_J0008,synthetic_demo,web,1.0,Software Developer,Hyderabad,,,,,
E000025,job_post_completed,2026-08-02 16:41:00,S012,J0008,SESS_J0008,synthetic_demo,web,1.0,Software Developer,Hyderabad,2.0,,,,
E000026,job_post_published,2026-08-02 18:22:00,S012,J0008,SESS_J0008,synthetic_demo,mobile,1.0,Software Developer,Hyderabad,,published,,,
E000027,job_post_started,2026-08-02 16:55:00,S015,J0009,SESS_J0009,synthetic_demo,web,1.0,Digital Marketer,Mumbai,,,,,
E000028,job_post_completed,2026-08-02 17:00:00,S015,J0009,SESS_J0009,synthetic_demo,mobile,1.0,Digital Marketer,Mumbai,7.0,,,,
E000029,job_post_published,2026-08-02 18:32:00,S015,J0009,SESS_J0009,synthetic_demo,mobile,1.0,Digital Marketer,Mumbai,,published,,,
E000030,job_post_edited,2026-08-02 22:44:00,S015,J0009,SESS_J0009,synthetic_demo,mobile,1.0,Digital Marketer,Mumbai,,,,description,
E000031,job_post_paused,2026-08-05 18:32:00,S015,J0009,SESS_J0009,synthetic_demo,web,1.0,Digital Marketer,Mumbai,,,,,low_response
E000032,job_post_reactivated,2026-08-08 18:32:00,S015,J0009,SESS_J0009,synthetic_demo,web,1.0,Digital Marketer,Mumbai,,,,,
E000033,job_post_started,2026-08-02 11:09:00,S010,J0010,SESS_J0010,synthetic_demo,web,1.0,Digital Marketer,Chennai,,,,,
E000034,job_post_completed,2026-08-02 11:37:00,S010,J0010,SESS_J0010,synthetic_demo,web,1.0,Digital Marketer,Chennai,6.0,,,,
E000035,job_post_published,2026-08-02 13:19:00,S010,J0010,SESS_J0010,synthetic_demo,mobile,1.0,Digital Marketer,Chennai,,published,,,
E000036,job_post_edited,2026-08-02 16:54:00,S010,J0010,SESS_J0010,synthetic_demo,web,1.0,Digital Marketer,Chennai,,,,location,
E000037,job_post_paused,2026-08-03 13:19:00,S010,J0010,SESS_J0010,synthetic_demo,mobile,1.0,Digital Marketer,Chennai,,,,,temporary_hold
E000038,job_post_reactivated,2026-08-04 13:19:00,S010,J0010,SESS_J0010,synthetic_demo,web,1.0,Digital Marketer,Chennai,,,,,
E000039,job_post_closed,2026-08-11 13:19:00,S010,J0010,SESS_J0010,synthetic_demo,web,1.0,Digital Marketer,Chennai,,,expired,,
E000040,job_post_started,2026-08-02 14:13:00,S009,J0011,SESS_J0011,synthetic_demo,web,1.0,Digital Marketer,Chennai,,,,,
E000041,job_post_completed,2026-08-02 14:52:00,S009,J0011,SESS_J0011,synthetic_demo,mobile,1.0,Digital Marketer,Chennai,7.0,,,,
E000042,job_post_published,2026-08-02 16:33:00,S009,J0011,SESS_J0011,synthetic_demo,mobile,1.0,Digital Marketer,Chennai,,published,,,
E000043,job_post_closed,2026-08-07 16:33:00,S009,J0011,SESS_J0011,synthetic_demo,mobile,1.0,Digital Marketer,Chennai,,,position_filled,,
E000044,job_post_started,2026-08-03 17:14:00,S019,J0012,SESS_J0012,synthetic_demo,web,1.0,Digital Marketer,Hyderabad,,,,,
E000045,job_post_completed,2026-08-03 17:19:00,S019,J0012,SESS_J0012,synthetic_demo,web,1.0,Digital Marketer,Hyderabad,3.0,,,,
E000046,job_post_published,2026-08-03 17:33:00,S019,J0012,SESS_J0012,synthetic_demo,mobile,1.0,Digital Marketer,Hyderabad,,published,,,
E000047,job_post_edited,2026-08-03 20:04:00,S019,J0012,SESS_J0012,synthetic_demo,mobile,1.0,Digital Marketer,Hyderabad,,,,location,
E000048,job_post_closed,2026-08-14 17:33:00,S019,J0012,SESS_J0012,synthetic_demo,mobile,1.0,Digital Marketer,Hyderabad,,,expired,,
E000049,job_post_started,2026-08-03 11:06:00,S008,J0013,SESS_J0013,synthetic_demo,mobile,1.0,UI/UX Designer,Pune,,,,,
E000050,job_post_completed,2026-08-03 11:17:00,S008,J0013,SESS_J0013,synthetic_demo,mobile,1.0,UI/UX Designer,Pune,4.0,,,,
E000051,job_post_published,2026-08-03 12:46:00,S008,J0013,SESS_J0013,synthetic_demo,web,1.0,UI/UX Designer,Pune,,published,,,
E000052,job_post_closed,2026-08-11 12:46:00,S008,J0013,SESS_J0013,synthetic_demo,mobile,1.0,UI/UX Designer,Pune,,,expired,,
E000053,job_post_started,2026-08-03 11:12:00,S026,J0014,SESS_J0014,synthetic_demo,web,1.0,Data Analyst,Hyderabad,,,,,
E000054,job_post_completed,2026-08-03 11:51:00,S026,J0014,SESS_J0014,synthetic_demo,web,1.0,Data Analyst,Hyderabad,5.0,,,,
E000055,job_post_published,2026-08-03 12:53:00,S026,J0014,SESS_J0014,synthetic_demo,web,1.0,Data Analyst,Hyderabad,,published,,,
E000056,job_post_paused,2026-08-04 12:53:00,S026,J0014,SESS_J0014,synthetic_demo,web,1.0,Data Analyst,Hyderabad,,,,,temporary_hold
E000057,job_post_reactivated,2026-08-05 12:53:00,S026,J0014,SESS_J0014,synthetic_demo,web,1.0,Data Analyst,Hyderabad,,,,,
E000058,job_post_closed,2026-08-12 12:53:00,S026,J0014,SESS_J0014,synthetic_demo,web,1.0,Data Analyst,Hyderabad,,,seller_closed,,
E000059,job_post_started,2026-08-03 10:24:00,S028,J0015,SESS_J0015,synthetic_demo,mobile,1.0,UI/UX Designer,Bengaluru,,,,,
E000060,job_post_completed,2026-08-03 10:29:00,S028,J0015,SESS_J0015,synthetic_demo,mobile,1.0,UI/UX Designer,Bengaluru,5.0,,,,
E000061,job_post_published,2026-08-03 11:23:00,S028,J0015,SESS_J0015,synthetic_demo,mobile,1.0,UI/UX Designer,Bengaluru,,published,,,
E000062,job_post_edited,2026-08-03 14:24:00,S028,J0015,SESS_J0015,synthetic_demo,web,1.0,UI/UX Designer,Bengaluru,,,,description,
E000063,job_post_started,2026-08-03 08:37:00,S024,J0016,SESS_J0016,synthetic_demo,web,1.0,Business Analyst,Bengaluru,,,,,
E000064,job_post_completed,2026-08-03 09:12:00,S024,J0016,SESS_J0016,synthetic_demo,web,1.0,Business Analyst,Bengaluru,2.0,,,,
E000065,job_post_published,2026-08-03 10:21:00,S024,J0016,SESS_J0016,synthetic_demo,web,1.0,Business Analyst,Bengaluru,,published,,,
E000066,job_post_closed,2026-08-06 10:21:00,S024,J0016,SESS_J0016,synthetic_demo,web,1.0,Business Analyst,Bengaluru,,,expired,,
E000067,job_post_started,2026-08-03 17:05:00,S019,J0017,SESS_J0017,synthetic_demo,mobile,1.0,Digital Marketer,Bengaluru,,,,,
E000068,job_post_completed,2026-08-03 17:36:00,S019,J0017,SESS_J0017,synthetic_demo,web,1.0,Digital Marketer,Bengaluru,4.0,,,,
E000069,job_post_published,2026-08-03 19:05:00,S019,J0017,SESS_J0017,synthetic_demo,mobile,1.0,Digital Marketer,Bengaluru,,published,,,
E000070,job_post_started,2026-08-03 09:00:00,S010,J0018,SESS_J0018,synthetic_demo,web,1.0,UI/UX Designer,Mumbai,,,,,
E000071,job_post_completed,2026-08-03 09:34:00,S010,J0018,SESS_J0018,synthetic_demo,web,1.0,UI/UX Designer,Mumbai,2.0,,,,
E000072,job_post_published,2026-08-03 10:58:00,S010,J0018,SESS_J0018,synthetic_demo,web,1.0,UI/UX Designer,Mumbai,,published,,,
E000073,job_post_started,2026-08-03 15:53:00,S012,J0019,SESS_J0019,synthetic_demo,mobile,1.0,Business Analyst,Hyderabad,,,,,
E000074,job_post_completed,2026-08-03 16:32:00,S012,J0019,SESS_J0019,synthetic_demo,web,1.0,Business Analyst,Hyderabad,6.0,,,,
E000075,job_post_published,2026-08-03 18:07:00,S012,J0019,SESS_J0019,synthetic_demo,mobile,1.0,Business Analyst,Hyderabad,,published,,,
E000076,job_post_started,2026-08-04 10:17:00,S004,J0020,SESS_J0020,synthetic_demo,web,1.0,Data Analyst,Chennai,,,,,
E000077,job_post_completed,2026-08-04 10:40:00,S004,J0020,SESS_J0020,synthetic_demo,mobile,1.0,Data Analyst,Chennai,7.0,,,,
E000078,job_post_published,2026-08-04 12:02:00,S004,J0020,SESS_J0020,synthetic_demo,mobile,1.0,Data Analyst,Chennai,,published,,,
E000079,job_post_started,2026-08-04 12:02:00,S002,J0021,SESS_J0021,synthetic_demo,web,1.0,Data Analyst,Pune,,,,,
E000080,job_post_completed,2026-08-04 12:07:00,S002,J0021,SESS_J0021,synthetic_demo,mobile,1.0,Data Analyst,Pune,7.0,,,,
E000081,job_post_published,2026-08-04 12:54:00,S002,J0021,SESS_J0021,synthetic_demo,mobile,1.0,Data Analyst,Pune,,published,,,
E000082,job_post_closed,2026-08-07 12:54:00,S002,J0021,SESS_J0021,synthetic_demo,web,1.0,Data Analyst,Pune,,,expired,,
E000083,job_post_started,2026-08-04 17:35:00,S018,J0022,SESS_J0022,synthetic_demo,web,1.0,Data Analyst,Mumbai,,,,,
E000084,job_post_completed,2026-08-04 17:49:00,S018,J0022,SESS_J0022,synthetic_demo,mobile,1.0,Data Analyst,Mumbai,2.0,,,,
E000085,job_post_published,2026-08-04 18:49:00,S018,J0022,SESS_J0022,synthetic_demo,web,1.0,Data Analyst,Mumbai,,published,,,
E000086,job_post_closed,2026-08-07 18:49:00,S018,J0022,SESS_J0022,synthetic_demo,mobile,1.0,Data Analyst,Mumbai,,,seller_closed,,
E000087,job_post_started,2026-08-04 10:51:00,S020,J0023,SESS_J0023,synthetic_demo,mobile,1.0,Software Developer,Hyderabad,,,,,
E000088,job_post_completed,2026-08-04 11:07:00,S020,J0023,SESS_J0023,synthetic_demo,web,1.0,Software Developer,Hyderabad,2.0,,,,
E000089,job_post_published,2026-08-04 13:04:00,S020,J0023,SESS_J0023,synthetic_demo,mobile,1.0,Software Developer,Hyderabad,,published,,,
E000090,job_post_started,2026-08-04 10:50:00,S024,J0024,SESS_J0024,synthetic_demo,web,1.0,Software Developer,Mumbai,,,,,
E000091,job_post_completed,2026-08-04 11:01:00,S024,J0024,SESS_J0024,synthetic_demo,web,1.0,Software Developer,Mumbai,5.0,,,,
E000092,job_post_published,2026-08-04 11:54:00,S024,J0024,SESS_J0024,synthetic_demo,mobile,1.0,Software Developer,Mumbai,,published,,,
E000093,job_post_started,2026-08-04 14:21:00,S008,J0025,SESS_J0025,synthetic_demo,web,1.0,Data Analyst,Hyderabad,,,,,
E000094,job_post_completed,2026-08-04 14:43:00,S008,J0025,SESS_J0025,synthetic_demo,mobile,1.0,Data Analyst,Hyderabad,4.0,,,,
E000095,job_post_published,2026-08-04 16:38:00,S008,J0025,SESS_J0025,synthetic_demo,mobile,1.0,Data Analyst,Hyderabad,,published,,,
E000096,job_post_started,2026-08-04 10:37:00,S001,J0026,SESS_J0026,synthetic_demo,web,1.0,Data Analyst,Mumbai,,,,,
E000097,job_post_completed,2026-08-04 10:58:00,S001,J0026,SESS_J0026,synthetic_demo,mobile,1.0,Data Analyst,Mumbai,6.0,,,,
E000098,job_post_published,2026-08-04 11:07:00,S001,J0026,SESS_J0026,synthetic_demo,mobile,1.0,Data Analyst,Mumbai,,published,,,
E000099,job_post_closed,2026-08-15 11:07:00,S001,J0026,SESS_J0026,synthetic_demo,mobile,1.0,Data Analyst,Mumbai,,,position_filled,,
E000100,job_post_started,2026-08-04 16:59:00,S002,J0027,SESS_J0027,synthetic_demo,web,1.0,UI/UX Designer,Bengaluru,,,,,
E000101,job_post_completed,2026-08-04 17:38:00,S002,J0027,SESS_J0027,synthetic_demo,mobile,1.0,UI/UX Designer,Bengaluru,4.0,,,,
E000102,job_post_published,2026-08-04 19:10:00,S002,J0027,SESS_J0027,synthetic_demo,mobile,1.0,UI/UX Designer,Bengaluru,,published,,,
E000103,job_post_closed,2026-08-10 19:10:00,S002,J0027,SESS_J0027,synthetic_demo,mobile,1.0,UI/UX Designer,Bengaluru,,,expired,,
E000104,job_post_started,2026-08-04 14:44:00,S022,J0028,SESS_J0028,synthetic_demo,web,1.0,UI/UX Designer,Mumbai,,,,,
E000105,job_post_completed,2026-08-04 15:07:00,S022,J0028,SESS_J0028,synthetic_demo,mobile,1.0,UI/UX Designer,Mumbai,3.0,,,,
E000106,job_post_published,2026-08-04 16:22:00,S022,J0028,SESS_J0028,synthetic_demo,mobile,1.0,UI/UX Designer,Mumbai,,published,,,
E000107,job_post_started,2026-08-04 08:19:00,S010,J0029,SESS_J0029,synthetic_demo,mobile,1.0,UI/UX Designer,Chennai,,,,,
