date,jobs_posted,jobs_published
2026-08-01,5,4
2026-08-02,6,6
2026-08-03,8,8
2026-08-04,10,10
2026-08-05,9,8
2026-08-06,10,7
2026-08-07,12,12
2026-08-08,8,8
2026-08-09,6,5
2026-08-10,10,8
2026-08-11,8,8
2026-08-12,8,5
2026-08-13,11,10
2026-08-14,8,8
2026-08-15,6,5
2026-08-16,8,8
2026-08-17,10,9
2026-08-18,11,11
2026-08-19,12,12
2026-08-20,9,8
2026-08-21,10,10
2026-08-22,6,6
2026-08-23,6,5
2026-08-24,8,8
2026-08-25,12,11
2026-08-26,8,8
2026-08-27,10,10
2026-08-28,8,8
2026-08-29,8,8
2026-08-30,5,4
