event_id,event_name,event_timestamp,application_id,candidate_id,company_id,job_id,event_version,eligibility_status,eligibility_reason,payment_id,amount,currency,payment_method,gateway,gateway_transaction_id,captured_amount,revenue_id,recognized_amount,revenue_type,refund_id,refund_amount,refund_reason,failure_code,failure_reason
PAE000001,application_started,2026-08-01 12:15:00,APP00001,CAN082,CMP008,JOB004,1.0,,,,,,,,,,,,,,,,,
PAE000002,application_submitted,2026-08-01 12:33:00,APP00001,CAN082,CMP008,JOB004,1.0,,,,,,,,,,,,,,,,,
PAE000003,application_eligible,2026-08-02 06:33:00,APP00001,CAN082,CMP008,JOB004,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000004,payment_initiated,2026-08-02 06:34:00,APP00001,CAN082,CMP008,JOB004,1.0,,,PAY00001,777.4,INR,upi,PayPerAppDemo,,,,,,,,,,
PAE000005,payment_captured,2026-08-02 06:35:09,APP00001,CAN082,CMP008,JOB004,1.0,,,PAY00001,777.4,INR,,PayPerAppDemo,GTX000001,777.4,,,,,,,,
PAE000006,revenue_recognized,2026-08-02 07:14:09,APP00001,CAN082,CMP008,JOB004,1.0,,,PAY00001,62.19,INR,,,,,REV00001,62.19,pay_per_application_fee,,,,,
PAE000007,payment_refunded,2026-08-07 07:14:09,APP00001,CAN082,CMP008,JOB004,1.0,,,PAY00001,310.28,INR,,,,,,,,REF00001,310.28,demo_refund,,
PAE000008,application_started,2026-08-01 17:17:00,APP00002,CAN054,CMP015,JOB058,1.0,,,,,,,,,,,,,,,,,
PAE000009,application_submitted,2026-08-01 17:22:00,APP00002,CAN054,CMP015,JOB058,1.0,,,,,,,,,,,,,,,,,
PAE000010,application_eligible,2026-08-01 23:22:00,APP00002,CAN054,CMP015,JOB058,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000011,payment_initiated,2026-08-01 23:27:00,APP00002,CAN054,CMP015,JOB058,1.0,,,PAY00002,675.31,INR,upi,PayPerAppDemo,,,,,,,,,,
PAE000012,payment_failed,2026-08-01 23:27:48,APP00002,CAN054,CMP015,JOB058,1.0,,,PAY00002,675.31,INR,,,,,,,,,,,DECLINED,demo_payment_failure
PAE000013,application_started,2026-08-01 13:54:00,APP00003,CAN012,CMP025,JOB013,1.0,,,,,,,,,,,,,,,,,
PAE000014,application_submitted,2026-08-01 14:32:00,APP00003,CAN012,CMP025,JOB013,1.0,,,,,,,,,,,,,,,,,
PAE000015,application_eligible,2026-08-02 14:32:00,APP00003,CAN012,CMP025,JOB013,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000016,payment_initiated,2026-08-02 15:02:00,APP00003,CAN012,CMP025,JOB013,1.0,,,PAY00003,406.03,INR,card,PayPerAppDemo,,,,,,,,,,
PAE000017,payment_captured,2026-08-02 15:02:42,APP00003,CAN012,CMP025,JOB013,1.0,,,PAY00003,406.03,INR,,PayPerAppDemo,GTX000003,406.03,,,,,,,,
PAE000018,revenue_recognized,2026-08-02 15:56:42,APP00003,CAN012,CMP025,JOB013,1.0,,,PAY00003,32.48,INR,,,,,REV00003,32.48,pay_per_application_fee,,,,,
PAE000019,application_started,2026-08-01 09:02:00,APP00004,CAN047,CMP037,JOB025,1.0,,,,,,,,,,,,,,,,,
PAE000020,application_submitted,2026-08-01 09:44:00,APP00004,CAN047,CMP037,JOB025,1.0,,,,,,,,,,,,,,,,,
PAE000021,application_started,2026-08-01 12:29:00,APP00005,CAN030,CMP007,JOB049,1.0,,,,,,,,,,,,,,,,,
PAE000022,application_submitted,2026-08-01 13:20:00,APP00005,CAN030,CMP007,JOB049,1.0,,,,,,,,,,,,,,,,,
PAE000023,application_eligible,2026-08-02 01:20:00,APP00005,CAN030,CMP007,JOB049,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000024,payment_initiated,2026-08-02 01:50:00,APP00005,CAN030,CMP007,JOB049,1.0,,,PAY00004,583.72,INR,netbanking,PayPerAppDemo,,,,,,,,,,
PAE000025,payment_captured,2026-08-02 01:51:22,APP00005,CAN030,CMP007,JOB049,1.0,,,PAY00004,583.72,INR,,PayPerAppDemo,GTX000004,583.72,,,,,,,,
PAE000026,revenue_recognized,2026-08-02 02:32:22,APP00005,CAN030,CMP007,JOB049,1.0,,,PAY00004,46.7,INR,,,,,REV00004,46.7,pay_per_application_fee,,,,,
PAE000027,application_started,2026-08-01 15:24:00,APP00006,CAN094,CMP016,JOB021,1.0,,,,,,,,,,,,,,,,,
PAE000028,application_submitted,2026-08-01 16:50:00,APP00006,CAN094,CMP016,JOB021,1.0,,,,,,,,,,,,,,,,,
PAE000029,application_eligible,2026-08-02 00:50:00,APP00006,CAN094,CMP016,JOB021,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000030,payment_initiated,2026-08-02 01:15:00,APP00006,CAN094,CMP016,JOB021,1.0,,,PAY00005,1303.56,INR,upi,PayPerAppDemo,,,,,,,,,,
PAE000031,payment_captured,2026-08-02 01:15:09,APP00006,CAN094,CMP016,JOB021,1.0,,,PAY00005,1303.56,INR,,PayPerAppDemo,GTX000005,1303.56,,,,,,,,
PAE000032,revenue_recognized,2026-08-02 02:07:09,APP00006,CAN094,CMP016,JOB021,1.0,,,PAY00005,104.28,INR,,,,,REV00005,104.28,pay_per_application_fee,,,,,
PAE000033,application_started,2026-08-01 17:56:00,APP00007,CAN035,CMP005,JOB028,1.0,,,,,,,,,,,,,,,,,
PAE000034,application_submitted,2026-08-01 18:28:00,APP00007,CAN035,CMP005,JOB028,1.0,,,,,,,,,,,,,,,,,
PAE000035,application_eligible,2026-08-02 07:28:00,APP00007,CAN035,CMP005,JOB028,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000036,payment_initiated,2026-08-02 07:33:00,APP00007,CAN035,CMP005,JOB028,1.0,,,PAY00006,1053.56,INR,card,PayPerAppDemo,,,,,,,,,,
PAE000037,payment_captured,2026-08-02 07:34:40,APP00007,CAN035,CMP005,JOB028,1.0,,,PAY00006,1053.56,INR,,PayPerAppDemo,GTX000006,1053.56,,,,,,,,
PAE000038,revenue_recognized,2026-08-02 08:10:40,APP00007,CAN035,CMP005,JOB028,1.0,,,PAY00006,84.28,INR,,,,,REV00006,84.28,pay_per_application_fee,,,,,
PAE000039,application_started,2026-08-01 17:25:00,APP00008,CAN096,CMP038,JOB055,1.0,,,,,,,,,,,,,,,,,
PAE000040,application_submitted,2026-08-01 17:47:00,APP00008,CAN096,CMP038,JOB055,1.0,,,,,,,,,,,,,,,,,
PAE000041,application_eligible,2026-08-01 20:47:00,APP00008,CAN096,CMP038,JOB055,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000042,payment_initiated,2026-08-01 20:52:00,APP00008,CAN096,CMP038,JOB055,1.0,,,PAY00007,1326.38,INR,netbanking,PayPerAppDemo,,,,,,,,,,
PAE000043,payment_captured,2026-08-01 20:53:32,APP00008,CAN096,CMP038,JOB055,1.0,,,PAY00007,1326.38,INR,,PayPerAppDemo,GTX000007,1326.38,,,,,,,,
PAE000044,revenue_recognized,2026-08-01 21:21:32,APP00008,CAN096,CMP038,JOB055,1.0,,,PAY00007,106.11,INR,,,,,REV00007,106.11,pay_per_application_fee,,,,,
PAE000045,application_started,2026-08-01 15:33:00,APP00009,CAN050,CMP025,JOB077,1.0,,,,,,,,,,,,,,,,,
PAE000046,application_submitted,2026-08-01 16:48:00,APP00009,CAN050,CMP025,JOB077,1.0,,,,,,,,,,,,,,,,,
PAE000047,application_started,2026-08-01 12:49:00,APP00010,CAN002,CMP008,JOB069,1.0,,,,,,,,,,,,,,,,,
PAE000048,application_submitted,2026-08-01 13:08:00,APP00010,CAN002,CMP008,JOB069,1.0,,,,,,,,,,,,,,,,,
PAE000049,application_eligible,2026-08-01 19:08:00,APP00010,CAN002,CMP008,JOB069,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000050,payment_initiated,2026-08-01 19:37:00,APP00010,CAN002,CMP008,JOB069,1.0,,,PAY00008,1442.27,INR,netbanking,PayPerAppDemo,,,,,,,,,,
PAE000051,payment_captured,2026-08-01 19:38:09,APP00010,CAN002,CMP008,JOB069,1.0,,,PAY00008,1442.27,INR,,PayPerAppDemo,GTX000008,1442.27,,,,,,,,
PAE000052,revenue_recognized,2026-08-01 20:27:09,APP00010,CAN002,CMP008,JOB069,1.0,,,PAY00008,115.38,INR,,,,,REV00008,115.38,pay_per_application_fee,,,,,
PAE000053,application_started,2026-08-01 17:12:00,APP00011,CAN014,CMP020,JOB065,1.0,,,,,,,,,,,,,,,,,
PAE000054,application_submitted,2026-08-01 17:37:00,APP00011,CAN014,CMP020,JOB065,1.0,,,,,,,,,,,,,,,,,
PAE000055,application_eligible,2026-08-02 10:37:00,APP00011,CAN014,CMP020,JOB065,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000056,application_started,2026-08-01 08:07:00,APP00012,CAN077,CMP021,JOB063,1.0,,,,,,,,,,,,,,,,,
PAE000057,application_started,2026-08-01 11:56:00,APP00013,CAN040,CMP016,JOB008,1.0,,,,,,,,,,,,,,,,,
PAE000058,application_submitted,2026-08-01 12:11:00,APP00013,CAN040,CMP016,JOB008,1.0,,,,,,,,,,,,,,,,,
PAE000059,application_eligible,2026-08-02 04:11:00,APP00013,CAN040,CMP016,JOB008,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000060,payment_initiated,2026-08-02 04:29:00,APP00013,CAN040,CMP016,JOB008,1.0,,,PAY00009,1472.48,INR,upi,PayPerAppDemo,,,,,,,,,,
PAE000061,payment_captured,2026-08-02 04:30:05,APP00013,CAN040,CMP016,JOB008,1.0,,,PAY00009,1472.48,INR,,PayPerAppDemo,GTX000009,1472.48,,,,,,,,
PAE000062,revenue_recognized,2026-08-02 05:06:05,APP00013,CAN040,CMP016,JOB008,1.0,,,PAY00009,117.8,INR,,,,,REV00009,117.8,pay_per_application_fee,,,,,
PAE000063,application_started,2026-08-01 11:59:00,APP00014,CAN068,CMP039,JOB055,1.0,,,,,,,,,,,,,,,,,
PAE000064,application_submitted,2026-08-01 12:29:00,APP00014,CAN068,CMP039,JOB055,1.0,,,,,,,,,,,,,,,,,
PAE000065,application_eligible,2026-08-02 01:29:00,APP00014,CAN068,CMP039,JOB055,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000066,application_started,2026-08-01 16:28:00,APP00015,CAN084,CMP024,JOB057,1.0,,,,,,,,,,,,,,,,,
PAE000067,application_submitted,2026-08-01 17:01:00,APP00015,CAN084,CMP024,JOB057,1.0,,,,,,,,,,,,,,,,,
PAE000068,application_eligible,2026-08-01 18:01:00,APP00015,CAN084,CMP024,JOB057,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000069,payment_initiated,2026-08-01 18:09:00,APP00015,CAN084,CMP024,JOB057,1.0,,,PAY00010,537.64,INR,upi,PayPerAppDemo,,,,,,,,,,
PAE000070,payment_captured,2026-08-01 18:10:25,APP00015,CAN084,CMP024,JOB057,1.0,,,PAY00010,537.64,INR,,PayPerAppDemo,GTX000010,537.64,,,,,,,,
PAE000071,revenue_recognized,2026-08-01 18:14:25,APP00015,CAN084,CMP024,JOB057,1.0,,,PAY00010,43.01,INR,,,,,REV00010,43.01,pay_per_application_fee,,,,,
PAE000072,application_started,2026-08-01 16:15:00,APP00016,CAN005,CMP022,JOB010,1.0,,,,,,,,,,,,,,,,,
PAE000073,application_submitted,2026-08-01 17:22:00,APP00016,CAN005,CMP022,JOB010,1.0,,,,,,,,,,,,,,,,,
PAE000074,application_eligible,2026-08-01 22:22:00,APP00016,CAN005,CMP022,JOB010,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000075,payment_initiated,2026-08-01 22:41:00,APP00016,CAN005,CMP022,JOB010,1.0,,,PAY00011,1352.98,INR,card,PayPerAppDemo,,,,,,,,,,
PAE000076,payment_captured,2026-08-01 22:42:05,APP00016,CAN005,CMP022,JOB010,1.0,,,PAY00011,1352.98,INR,,PayPerAppDemo,GTX000011,1352.98,,,,,,,,
PAE000077,revenue_recognized,2026-08-01 23:34:05,APP00016,CAN005,CMP022,JOB010,1.0,,,PAY00011,108.24,INR,,,,,REV00011,108.24,pay_per_application_fee,,,,,
PAE000078,application_started,2026-08-01 13:27:00,APP00017,CAN013,CMP007,JOB056,1.0,,,,,,,,,,,,,,,,,
PAE000079,application_submitted,2026-08-01 13:38:00,APP00017,CAN013,CMP007,JOB056,1.0,,,,,,,,,,,,,,,,,
PAE000080,application_eligible,2026-08-02 10:38:00,APP00017,CAN013,CMP007,JOB056,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000081,payment_initiated,2026-08-02 10:49:00,APP00017,CAN013,CMP007,JOB056,1.0,,,PAY00012,753.28,INR,upi,PayPerAppDemo,,,,,,,,,,
PAE000082,payment_captured,2026-08-02 10:49:29,APP00017,CAN013,CMP007,JOB056,1.0,,,PAY00012,753.28,INR,,PayPerAppDemo,GTX000012,753.28,,,,,,,,
PAE000083,revenue_recognized,2026-08-02 11:24:29,APP00017,CAN013,CMP007,JOB056,1.0,,,PAY00012,60.26,INR,,,,,REV00012,60.26,pay_per_application_fee,,,,,
PAE000084,application_started,2026-08-01 15:15:00,APP00018,CAN055,CMP012,JOB036,1.0,,,,,,,,,,,,,,,,,
PAE000085,application_submitted,2026-08-01 15:29:00,APP00018,CAN055,CMP012,JOB036,1.0,,,,,,,,,,,,,,,,,
PAE000086,application_eligible,2026-08-02 09:29:00,APP00018,CAN055,CMP012,JOB036,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000087,payment_initiated,2026-08-02 09:47:00,APP00018,CAN055,CMP012,JOB036,1.0,,,PAY00013,1065.18,INR,upi,PayPerAppDemo,,,,,,,,,,
PAE000088,payment_failed,2026-08-02 09:48:41,APP00018,CAN055,CMP012,JOB036,1.0,,,PAY00013,1065.18,INR,,,,,,,,,,,DECLINED,demo_payment_failure
PAE000089,application_started,2026-08-01 15:13:00,APP00019,CAN022,CMP027,JOB063,1.0,,,,,,,,,,,,,,,,,
PAE000090,application_submitted,2026-08-01 15:25:00,APP00019,CAN022,CMP027,JOB063,1.0,,,,,,,,,,,,,,,,,
PAE000091,application_eligible,2026-08-01 16:25:00,APP00019,CAN022,CMP027,JOB063,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000092,application_started,2026-08-01 14:44:00,APP00020,CAN034,CMP030,JOB037,1.0,,,,,,,,,,,,,,,,,
PAE000093,application_started,2026-08-01 11:18:00,APP00021,CAN072,CMP032,JOB020,1.0,,,,,,,,,,,,,,,,,
PAE000094,application_submitted,2026-08-01 11:30:00,APP00021,CAN072,CMP032,JOB020,1.0,,,,,,,,,,,,,,,,,
PAE000095,application_eligible,2026-08-02 05:30:00,APP00021,CAN072,CMP032,JOB020,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000096,payment_initiated,2026-08-02 05:32:00,APP00021,CAN072,CMP032,JOB020,1.0,,,PAY00014,642.01,INR,netbanking,PayPerAppDemo,,,,,,,,,,
PAE000097,payment_captured,2026-08-02 05:33:54,APP00021,CAN072,CMP032,JOB020,1.0,,,PAY00014,642.01,INR,,PayPerAppDemo,GTX000014,642.01,,,,,,,,
PAE000098,revenue_recognized,2026-08-02 06:07:54,APP00021,CAN072,CMP032,JOB020,1.0,,,PAY00014,51.36,INR,,,,,REV00014,51.36,pay_per_application_fee,,,,,
PAE000099,application_started,2026-08-01 09:38:00,APP00022,CAN066,CMP006,JOB024,1.0,,,,,,,,,,,,,,,,,
PAE000100,application_submitted,2026-08-01 10:13:00,APP00022,CAN066,CMP006,JOB024,1.0,,,,,,,,,,,,,,,,,
PAE000101,application_eligible,2026-08-02 05:13:00,APP00022,CAN066,CMP006,JOB024,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000102,payment_initiated,2026-08-02 05:33:00,APP00022,CAN066,CMP006,JOB024,1.0,,,PAY00015,993.15,INR,upi,PayPerAppDemo,,,,,,,,,,
PAE000103,payment_captured,2026-08-02 05:34:19,APP00022,CAN066,CMP006,JOB024,1.0,,,PAY00015,993.15,INR,,PayPerAppDemo,GTX000015,993.15,,,,,,,,
PAE000104,revenue_recognized,2026-08-02 06:11:19,APP00022,CAN066,CMP006,JOB024,1.0,,,PAY00015,79.45,INR,,,,,REV00015,79.45,pay_per_application_fee,,,,,
PAE000105,application_started,2026-08-01 11:16:00,APP00023,CAN034,CMP014,JOB041,1.0,,,,,,,,,,,,,,,,,
PAE000106,application_submitted,2026-08-01 12:46:00,APP00023,CAN034,CMP014,JOB041,1.0,,,,,,,,,,,,,,,,,
PAE000107,application_eligible,2026-08-02 03:46:00,APP00023,CAN034,CMP014,JOB041,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000108,payment_initiated,2026-08-02 03:49:00,APP00023,CAN034,CMP014,JOB041,1.0,,,PAY00016,1189.83,INR,upi,PayPerAppDemo,,,,,,,,,,
PAE000109,payment_captured,2026-08-02 03:50:17,APP00023,CAN034,CMP014,JOB041,1.0,,,PAY00016,1189.83,INR,,PayPerAppDemo,GTX000016,1189.83,,,,,,,,
PAE000110,revenue_recognized,2026-08-02 03:57:17,APP00023,CAN034,CMP014,JOB041,1.0,,,PAY00016,95.19,INR,,,,,REV00016,95.19,pay_per_application_fee,,,,,
PAE000111,application_started,2026-08-01 10:59:00,APP00024,CAN028,CMP033,JOB034,1.0,,,,,,,,,,,,,,,,,
PAE000112,application_submitted,2026-08-01 11:12:00,APP00024,CAN028,CMP033,JOB034,1.0,,,,,,,,,,,,,,,,,
PAE000113,application_started,2026-08-02 15:53:00,APP00025,CAN048,CMP019,JOB021,1.0,,,,,,,,,,,,,,,,,
PAE000114,application_submitted,2026-08-02 16:36:00,APP00025,CAN048,CMP019,JOB021,1.0,,,,,,,,,,,,,,,,,
PAE000115,application_eligible,2026-08-03 13:36:00,APP00025,CAN048,CMP019,JOB021,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000116,payment_initiated,2026-08-03 13:54:00,APP00025,CAN048,CMP019,JOB021,1.0,,,PAY00017,1084.83,INR,card,PayPerAppDemo,,,,,,,,,,
PAE000117,payment_captured,2026-08-03 13:54:18,APP00025,CAN048,CMP019,JOB021,1.0,,,PAY00017,1084.83,INR,,PayPerAppDemo,GTX000017,1084.83,,,,,,,,
PAE000118,revenue_recognized,2026-08-03 14:51:18,APP00025,CAN048,CMP019,JOB021,1.0,,,PAY00017,86.79,INR,,,,,REV00017,86.79,pay_per_application_fee,,,,,
PAE000119,application_started,2026-08-02 10:17:00,APP00026,CAN015,CMP007,JOB071,1.0,,,,,,,,,,,,,,,,,
PAE000120,application_submitted,2026-08-02 10:48:00,APP00026,CAN015,CMP007,JOB071,1.0,,,,,,,,,,,,,,,,,
PAE000121,application_eligible,2026-08-02 17:48:00,APP00026,CAN015,CMP007,JOB071,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000122,payment_initiated,2026-08-02 18:05:00,APP00026,CAN015,CMP007,JOB071,1.0,,,PAY00018,1316.14,INR,card,PayPerAppDemo,,,,,,,,,,
PAE000123,payment_captured,2026-08-02 18:06:53,APP00026,CAN015,CMP007,JOB071,1.0,,,PAY00018,1316.14,INR,,PayPerAppDemo,GTX000018,1316.14,,,,,,,,
PAE000124,revenue_recognized,2026-08-02 18:10:53,APP00026,CAN015,CMP007,JOB071,1.0,,,PAY00018,105.29,INR,,,,,REV00018,105.29,pay_per_application_fee,,,,,
PAE000125,application_started,2026-08-02 08:21:00,APP00027,CAN055,CMP018,JOB006,1.0,,,,,,,,,,,,,,,,,
PAE000126,application_submitted,2026-08-02 09:47:00,APP00027,CAN055,CMP018,JOB006,1.0,,,,,,,,,,,,,,,,,
PAE000127,application_started,2026-08-02 14:35:00,APP00028,CAN021,CMP029,JOB071,1.0,,,,,,,,,,,,,,,,,
PAE000128,application_submitted,2026-08-02 14:49:00,APP00028,CAN021,CMP029,JOB071,1.0,,,,,,,,,,,,,,,,,
PAE000129,application_started,2026-08-02 08:53:00,APP00029,CAN089,CMP010,JOB070,1.0,,,,,,,,,,,,,,,,,
PAE000130,application_submitted,2026-08-02 10:08:00,APP00029,CAN089,CMP010,JOB070,1.0,,,,,,,,,,,,,,,,,
PAE000131,application_eligible,2026-08-02 15:08:00,APP00029,CAN089,CMP010,JOB070,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000132,payment_initiated,2026-08-02 15:38:00,APP00029,CAN089,CMP010,JOB070,1.0,,,PAY00019,705.81,INR,upi,PayPerAppDemo,,,,,,,,,,
PAE000133,payment_captured,2026-08-02 15:38:31,APP00029,CAN089,CMP010,JOB070,1.0,,,PAY00019,705.81,INR,,PayPerAppDemo,GTX000019,705.81,,,,,,,,
PAE000134,revenue_recognized,2026-08-02 16:22:31,APP00029,CAN089,CMP010,JOB070,1.0,,,PAY00019,56.46,INR,,,,,REV00019,56.46,pay_per_application_fee,,,,,
PAE000135,application_started,2026-08-02 14:39:00,APP00030,CAN014,CMP023,JOB072,1.0,,,,,,,,,,,,,,,,,
PAE000136,application_submitted,2026-08-02 15:14:00,APP00030,CAN014,CMP023,JOB072,1.0,,,,,,,,,,,,,,,,,
PAE000137,application_started,2026-08-02 10:47:00,APP00031,CAN023,CMP027,JOB004,1.0,,,,,,,,,,,,,,,,,
PAE000138,application_started,2026-08-02 10:50:00,APP00032,CAN053,CMP016,JOB035,1.0,,,,,,,,,,,,,,,,,
PAE000139,application_submitted,2026-08-02 11:43:00,APP00032,CAN053,CMP016,JOB035,1.0,,,,,,,,,,,,,,,,,
PAE000140,application_started,2026-08-02 15:22:00,APP00033,CAN061,CMP015,JOB026,1.0,,,,,,,,,,,,,,,,,
PAE000141,application_submitted,2026-08-02 15:56:00,APP00033,CAN061,CMP015,JOB026,1.0,,,,,,,,,,,,,,,,,
PAE000142,application_eligible,2026-08-03 13:56:00,APP00033,CAN061,CMP015,JOB026,1.0,eligible,meets_demo_rules,,,,,,,,,,,,,,,
PAE000143,payment_initiated,2026-08-03 14:24:00,APP00033,CAN061,CMP015,JOB026,1.0,,,PAY00020,660.33,INR,upi,PayPerAppDemo,,,,,,,,,,
