event_id,event_name,event_timestamp,payment_id,company_id,seller_id,order_id,amount,currency,gateway,event_version,payment_method,gateway_transaction_id,captured_amount,revenue_id,recognized_amount,revenue_type,refund_id,refund_amount,refund_reason,failure_code,failure_reason,chargeback_id,chargeback_amount,chargeback_reason
PE000001,payment_initiated,2026-08-01 09:43:00,PAY00001,CMP001,SEL009,ORD00001,6745.45,INR,DemoPay,1.0,netbanking,,,,,,,,,,,,,
PE000002,payment_authorized,2026-08-01 09:43:10,PAY00001,CMP001,SEL009,ORD00001,6745.45,INR,DemoPay,1.0,,GTX000001,,,,,,,,,,,,
PE000003,payment_captured,2026-08-01 09:44:30,PAY00001,CMP001,SEL009,ORD00001,6745.45,INR,DemoPay,1.0,,GTX000001,6745.45,,,,,,,,,,,
PE000004,revenue_recognized,2026-08-01 10:39:30,PAY00001,CMP001,SEL009,ORD00001,539.64,INR,DemoPay,1.0,,,,REV00001,539.64,platform_fee,,,,,,,,
PE000005,payment_refunded,2026-08-03 10:39:30,PAY00001,CMP001,SEL009,ORD00001,2160.37,INR,DemoPay,1.0,,,,,,,REF00001,2160.37,service_issue,,,,,
PE000006,payment_initiated,2026-08-01 17:17:00,PAY00002,CMP018,SEL007,ORD00002,6680.35,INR,DemoGateway,1.0,card,,,,,,,,,,,,,
PE000007,payment_authorized,2026-08-01 17:17:15,PAY00002,CMP018,SEL007,ORD00002,6680.35,INR,DemoGateway,1.0,,GTX000002,,,,,,,,,,,,
PE000008,payment_captured,2026-08-01 17:18:49,PAY00002,CMP018,SEL007,ORD00002,6680.35,INR,DemoGateway,1.0,,GTX000002,6680.35,,,,,,,,,,,
PE000009,revenue_recognized,2026-08-01 18:13:49,PAY00002,CMP018,SEL007,ORD00002,534.43,INR,DemoGateway,1.0,,,,REV00002,534.43,platform_fee,,,,,,,,
PE000010,payment_initiated,2026-08-01 09:22:00,PAY00003,CMP025,SEL011,ORD00003,3679.53,INR,DemoPay,1.0,upi,,,,,,,,,,,,,
PE000011,payment_authorized,2026-08-01 09:22:56,PAY00003,CMP025,SEL011,ORD00003,3679.53,INR,DemoPay,1.0,,GTX000003,,,,,,,,,,,,
PE000012,payment_captured,2026-08-01 09:23:06,PAY00003,CMP025,SEL011,ORD00003,3679.53,INR,DemoPay,1.0,,GTX000003,3679.53,,,,,,,,,,,
PE000013,revenue_recognized,2026-08-01 10:57:06,PAY00003,CMP025,SEL011,ORD00003,294.36,INR,DemoPay,1.0,,,,REV00003,294.36,platform_fee,,,,,,,,
PE000014,payment_initiated,2026-08-01 18:39:00,PAY00004,CMP030,SEL013,ORD00004,14472.95,INR,DemoPay,1.0,upi,,,,,,,,,,,,,
PE000015,payment_authorized,2026-08-01 18:39:50,PAY00004,CMP030,SEL013,ORD00004,14472.95,INR,DemoPay,1.0,,GTX000004,,,,,,,,,,,,
PE000016,payment_captured,2026-08-01 18:40:03,PAY00004,CMP030,SEL013,ORD00004,14472.95,INR,DemoPay,1.0,,GTX000004,14472.95,,,,,,,,,,,
PE000017,revenue_recognized,2026-08-01 18:46:03,PAY00004,CMP030,SEL013,ORD00004,1157.84,INR,DemoPay,1.0,,,,REV00004,1157.84,platform_fee,,,,,,,,
PE000018,payment_initiated,2026-08-01 15:40:00,PAY00005,CMP003,SEL008,ORD00005,10432.97,INR,DemoPay,1.0,upi,,,,,,,,,,,,,
PE000019,payment_authorized,2026-08-01 15:40:27,PAY00005,CMP003,SEL008,ORD00005,10432.97,INR,DemoPay,1.0,,GTX000005,,,,,,,,,,,,
PE000020,payment_captured,2026-08-01 15:40:58,PAY00005,CMP003,SEL008,ORD00005,10432.97,INR,DemoPay,1.0,,GTX000005,10432.97,,,,,,,,,,,
PE000021,revenue_recognized,2026-08-01 17:06:58,PAY00005,CMP003,SEL008,ORD00005,834.64,INR,DemoPay,1.0,,,,REV00005,834.64,platform_fee,,,,,,,,
PE000022,payment_initiated,2026-08-01 11:10:00,PAY00006,CMP021,SEL003,ORD00006,14052.29,INR,DemoPay,1.0,upi,,,,,,,,,,,,,
PE000023,payment_authorized,2026-08-01 11:10:45,PAY00006,CMP021,SEL003,ORD00006,14052.29,INR,DemoPay,1.0,,GTX000006,,,,,,,,,,,,
PE000024,payment_captured,2026-08-01 11:12:18,PAY00006,CMP021,SEL003,ORD00006,14052.29,INR,DemoPay,1.0,,GTX000006,14052.29,,,,,,,,,,,
PE000025,revenue_recognized,2026-08-01 12:24:18,PAY00006,CMP021,SEL003,ORD00006,1124.18,INR,DemoPay,1.0,,,,REV00006,1124.18,platform_fee,,,,,,,,
PE000026,payment_initiated,2026-08-01 13:25:00,PAY00007,CMP025,SEL002,ORD00007,20812.36,INR,DemoPay,1.0,upi,,,,,,,,,,,,,
PE000027,payment_failed,2026-08-01 13:26:22,PAY00007,CMP025,SEL002,ORD00007,20812.36,INR,DemoPay,1.0,,,,,,,,,,INSUFFICIENT_FUNDS,demo_failure,,,
PE000028,payment_initiated,2026-08-01 18:29:00,PAY00008,CMP011,SEL007,ORD00008,10797.35,INR,DemoGateway,1.0,card,,,,,,,,,,,,,
PE000029,payment_authorized,2026-08-01 18:29:20,PAY00008,CMP011,SEL007,ORD00008,10797.35,INR,DemoGateway,1.0,,GTX000008,,,,,,,,,,,,
PE000030,payment_captured,2026-08-01 18:31:00,PAY00008,CMP011,SEL007,ORD00008,10797.35,INR,DemoGateway,1.0,,GTX000008,10797.35,,,,,,,,,,,
PE000031,revenue_recognized,2026-08-01 19:43:00,PAY00008,CMP011,SEL007,ORD00008,863.79,INR,DemoGateway,1.0,,,,REV00008,863.79,platform_fee,,,,,,,,
PE000032,payment_initiated,2026-08-01 10:32:00,PAY00009,CMP014,SEL019,ORD00009,10006.92,INR,DemoGateway,1.0,upi,,,,,,,,,,,,,
PE000033,payment_authorized,2026-08-01 10:32:08,PAY00009,CMP014,SEL019,ORD00009,10006.92,INR,DemoGateway,1.0,,GTX000009,,,,,,,,,,,,
PE000034,payment_captured,2026-08-01 10:34:03,PAY00009,CMP014,SEL019,ORD00009,10006.92,INR,DemoGateway,1.0,,GTX000009,10006.92,,,,,,,,,,,
PE000035,revenue_recognized,2026-08-01 10:49:03,PAY00009,CMP014,SEL019,ORD00009,800.55,INR,DemoGateway,1.0,,,,REV00009,800.55,platform_fee,,,,,,,,
PE000036,payment_initiated,2026-08-01 17:29:00,PAY00010,CMP022,SEL014,ORD00010,10542.03,INR,DemoPay,1.0,netbanking,,,,,,,,,,,,,
PE000037,payment_authorized,2026-08-01 17:29:40,PAY00010,CMP022,SEL014,ORD00010,10542.03,INR,DemoPay,1.0,,GTX000010,,,,,,,,,,,,
PE000038,payment_captured,2026-08-01 17:31:35,PAY00010,CMP022,SEL014,ORD00010,10542.03,INR,DemoPay,1.0,,GTX000010,10542.03,,,,,,,,,,,
PE000039,revenue_recognized,2026-08-01 17:33:35,PAY00010,CMP022,SEL014,ORD00010,843.36,INR,DemoPay,1.0,,,,REV00010,843.36,platform_fee,,,,,,,,
PE000040,payment_initiated,2026-08-01 13:07:00,PAY00011,CMP029,SEL018,ORD00011,19562.07,INR,DemoGateway,1.0,upi,,,,,,,,,,,,,
PE000041,payment_authorized,2026-08-01 13:07:34,PAY00011,CMP029,SEL018,ORD00011,19562.07,INR,DemoGateway,1.0,,GTX000011,,,,,,,,,,,,
PE000042,payment_captured,2026-08-01 13:07:39,PAY00011,CMP029,SEL018,ORD00011,19562.07,INR,DemoGateway,1.0,,GTX000011,19562.07,,,,,,,,,,,
