payment_id,captured_amount,refund_amount,refund_type
PAY00001,6745.45,2160.37,partial_refund
PAY00016,15328.34,7630.78,partial_refund
PAY00027,11797.34,10179.08,partial_refund
PAY00053,1955.51,534.39,partial_refund
PAY00099,12579.71,10917.82,partial_refund
PAY00106,1870.86,1096.71,partial_refund
PAY00110,12111.54,6904.46,partial_refund
PAY00139,8198.98,7648.65,partial_refund
PAY00140,13297.17,10451.95,partial_refund
PAY00144,11587.11,11366.85,partial_refund
PAY00145,10675.66,8982.39,partial_refund
PAY00147,2982.86,2833.8,partial_refund
PAY00162,7389.22,5399.6,partial_refund
PAY00172,14609.05,4078.63,partial_refund
PAY00176,4972.73,2413.11,partial_refund
PAY00194,4231.64,1476.67,partial_refund
PAY00199,12324.69,9183.72,partial_refund
PAY00221,10520.39,6078.85,partial_refund
PAY00231,23895.61,21167.71,partial_refund
PAY00266,11454.02,3542.34,partial_refund
PAY00268,8768.32,5456.61,partial_refund
PAY00277,3686.13,1185.76,partial_refund
PAY00291,14733.06,6253.71,partial_refund
PAY00292,20451.47,7378.56,partial_refund
PAY00304,16583.86,9615.41,partial_refund
PAY00307,4326.62,1335.96,partial_refund
PAY00312,9439.85,8511.68,partial_refund
PAY00320,6627.91,6625.07,partial_refund
PAY00332,8834.17,8492.71,partial_refund
PAY00346,24480.55,18269.47,partial_refund
PAY00352,18341.46,9470.69,partial_refund
PAY00373,19051.93,16111.48,partial_refund
PAY00405,5277.34,2360.65,partial_refund
PAY00407,6076.54,2609.52,partial_refund
PAY00409,9665.66,3685.29,partial_refund
PAY00430,6889.86,5151.29,partial_refund
PAY00450,21127.04,15450.49,partial_refund
PAY00458,24845.18,21527.23,partial_refund
PAY00461,15487.93,12826.73,partial_refund
PAY00468,23219.01,18684.02,partial_refund
PAY00475,23687.21,12711.87,partial_refund
PAY00492,7250.76,2618.92,partial_refund
PAY00508,1596.58,1022.5,partial_refund
PAY00512,15983.41,15057.78,partial_refund
PAY00558,19775.05,14610.14,partial_refund
PAY00568,20054.35,17903.13,partial_refund
PAY00573,20061.68,18458.27,partial_refund
PAY00591,10573.65,8415.46,partial_refund
PAY00598,15168.88,7901.05,partial_refund
PAY00625,17855.02,11003.49,partial_refund
PAY00629,10954.07,8516.78,partial_refund
PAY00634,16640.9,11668.6,partial_refund
PAY00652,18263.39,17319.14,partial_refund
PAY00664,3674.95,1492.64,partial_refund
PAY00676,21705.22,5554.49,partial_refund
