metric,value,unit
Payment Attempts,685.0,count
Failed Payments,45.0,count
Successful Payments,640.0,count
Payment Failure Rate,6.57,%
Payment Success Rate,93.43,%
Refunded Payments,55.0,count
Refund Count,55.0,count
Refund Amount,469304.47,INR
Refund Transaction Rate,8.59,%
Refund Value Rate,5.77,%
Full Refunds,0.0,count
Partial Refunds,55.0,count
Full Refund Rate,0.0,%
Partial Refund Rate,100.0,%
Chargeback Transactions,16.0,count
Chargeback Amount,147373.62,INR
Chargeback Value Rate,1.81,%
Gross Payment Volume,8132680.89,INR
Net Retained Payment Value,7516002.8,INR
Retention Rate,92.42,%
Recognized Revenue,650614.46,INR
Refund-to-Revenue Ratio,72.13,%
Chargeback-to-Revenue Ratio,22.65,%
Reconciliation Gap,0.0,INR
