Month,valid_purchase_lines,clean_invoices,net_revenue_proxy,identified_customers
2010-12,26157,1400,572713.89,885
2011-01,21229,987,569445.04,741
2011-02,19927,997,447137.35,758
2011-03,27175,1321,595500.76,974
2011-04,22642,1149,469200.361,856
2011-05,28320,1555,678594.56,1056
2011-06,27185,1393,661213.6900000001,991
2011-07,26825,1331,600091.011,949
2011-08,27007,1280,645343.9,935
2011-09,40028,1755,952838.382,1266
2011-10,49554,1929,1039318.79,1364
2011-11,64531,2657,1161817.3800000001,1664
2011-12,17304,778,518192.79,615
