week,invoice_lines,invoices,revenue
2010-11-29,9998,425,185427.83
2010-12-06,16138,530,329936.81
2010-12-13,10948,444,216012.2
2010-12-20,4396,160,92369.3
2010-12-27,0,0,0.0
2011-01-03,7451,242,133658.19
2011-01-10,8697,258,193362.04
2011-01-17,9255,232,215533.18000000002
2011-01-24,7430,292,125170.79
2011-01-31,6856,297,125990.68000000001
2011-02-07,5501,222,107080.7
2011-02-14,6976,296,143734.46
2011-02-21,7565,290,148710.78
2011-02-28,7183,287,132717.55
2011-03-07,7286,295,135220.53
2011-03-14,8001,340,161691.62
2011-03-21,8272,325,149655.47
2011-03-28,8688,359,192720.48
2011-04-04,7662,318,134483.88
2011-04-11,7348,370,149571.681
2011-04-18,7875,268,141650.98
2011-04-25,4712,213,86465.08
2011-05-02,7817,365,146941.6
2011-05-09,10098,437,211984.26
2011-05-16,9273,454,215835.32
2011-05-23,7261,353,166087.12
2011-05-30,6626,259,118688.68
2011-06-06,9265,408,220151.72
2011-06-13,8246,370,190132.24
2011-06-20,8072,338,135972.61
2011-06-27,6608,286,139216.16
2011-07-04,10433,360,177320.48
2011-07-11,8764,328,137142.63
2011-07-18,9603,367,202365.54
2011-07-25,8272,346,182685.091
2011-08-01,7791,315,170702.36000000002
2011-08-08,7478,276,190233.13999999998
2011-08-15,6946,319,176016.97
2011-08-22,7894,363,164939.43
2011-08-29,9433,288,154058.24
2011-09-05,10098,397,192703.67
2011-09-12,10247,363,230137.26
2011-09-19,13354,467,338771.791
2011-09-26,11929,445,211800.221
2011-10-03,13958,494,319987.39
2011-10-10,12916,456,228776.18
2011-10-17,13446,453,276656.42
2011-10-24,14188,530,260555.63
2011-10-31,16392,533,301897.83
2011-11-07,18974,641,370044.97000000003
2011-11-14,20765,690,388622.44
2011-11-21,19654,619,316412.16
2011-11-28,18624,665,324370.83
2011-12-05,17441,512,504309.93
