week,invoice_count
2010-12-06,527
2010-12-13,498
2010-12-20,435
2010-12-27,99
2011-01-03,0
2011-01-10,281
2011-01-17,270
2011-01-24,234
2011-01-31,301
2011-02-07,277
2011-02-14,222
2011-02-21,292
2011-02-28,309
2011-03-07,298
2011-03-14,277
2011-03-21,343
2011-03-28,333
2011-04-04,357
2011-04-11,323
2011-04-18,375
2011-04-25,199
2011-05-02,213
2011-05-09,436
2011-05-16,434
2011-05-23,454
2011-05-30,285
2011-06-06,316
2011-06-13,410
2011-06-20,385
2011-06-27,309
2011-07-04,293
2011-07-11,360
2011-07-18,341
2011-07-25,361
2011-08-01,327
2011-08-08,315
2011-08-15,284
2011-08-22,336
2011-08-29,298
2011-09-05,356
2011-09-12,397
2011-09-19,366
2011-09-26,462
2011-10-03,447
2011-10-10,526
2011-10-17,445
2011-10-24,442
2011-10-31,524
2011-11-07,554
2011-11-14,655
2011-11-21,683
2011-11-28,634
2011-12-05,677
2011-12-12,385
